File,Sample,Subcomplex
201211_14646_measurements.csv,Nup60-GFP,Basket
210209_15305_measurements.csv,Nup2-GFP,Basket
210210_15303_measurements.csv,Nup1-GFP,Basket
210527_14648_measurements.csv,Mlp1-GFP,Basket
210422_11513_measurements.csv,Nup170-GFP,Inner ring
210422_13499_measurements.csv,Nup120-GFP,Y-complex
210821_13499_measurements.csv,Nup120-GFP,Y-complex
210422_13509_measurements.csv,Nup49-GFP,Channel
210821_13509_measurements.csv,Nup49-GFP,Channel
210821_13503_measurements.csv,Pom34-GFP,Transmembrane
210818_30626_measurements.csv,Ulp1-GFP,Other
