 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD,,,,,,,,,,,,,,
1,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_1_substack_frame_1_middleslice,1450.11,446.89,3.24,0.31,2.58,6.68,3.46,,,,,,,,,,,,,,,
2,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_1_substack_frame_2_middleslice,997.79,747.12,1.34,0.75,2.88,7.54,3.92,,,,,,,,,,,,,,,
3,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_1_substack_frame_3_middleslice,968.62,372.12,2.6,0.38,2.3,6.21,3.16,,,,,,,,,,,,,,,
4,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_2_substack_frame_1_middleslice,1324.91,462.88,2.86,0.35,2.56,6.76,3.5,,,,,,,,,,,,,,,
5,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_2_substack_frame_2_middleslice,984.62,943.65,1.04,0.96,3.98,10.41,5.47,,,,,,,,,,,,,,,
6,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_2_substack_frame_3_middleslice,866.48,418.14,2.07,0.48,2.1,6.02,2.96,,,,,,,,,,,,,,,
7,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_3_substack_frame_1_middleslice,1316.22,510.89,2.58,0.39,2.69,7.17,3.67,,,,,,,,,,,,,,,
8,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_3_substack_frame_2_middleslice,1152.14,783.14,1.47,0.68,3.8,9.02,4.99,,,,,,,,,,,,,,,
9,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_3_substack_frame_3_middleslice,0,0,0,0,0,0,0,,,,,,,,,,,,,,,#DIV/0!
10,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_4_substack_frame_1_middleslice,973.25,330.64,2.94,0.34,2.53,6.82,3.46,,,,,,,,,,,,,,,
