 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_10_substack_frame_1_middleslice,428.56,156.96,2.73,0.37,2.76,7.05,3.77,
2,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_10_substack_frame_2_middleslice,462.64,299.14,1.55,0.65,4.35,9.85,5.62,
3,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_10_substack_frame_3_middleslice,413.79,197.25,2.1,0.48,2.7,7.44,3.78,
4,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_11_substack_frame_1_middleslice,570.4,181.51,3.14,0.32,2.95,7.24,3.89,
5,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_11_substack_frame_2_middleslice,678.6,430.91,1.57,0.64,4.55,10.8,6.03,
6,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_11_substack_frame_3_middleslice,378.95,131.11,2.89,0.35,1.71,5.35,2.48,
7,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_12_substack_frame_1_middleslice,481.76,156.11,3.09,0.32,2.15,5.97,2.98,
8,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_12_substack_frame_2_middleslice,721.45,268.53,2.69,0.37,3.14,9.94,4.71,
9,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_12_substack_frame_3_middleslice,613.29,205.67,2.98,0.34,2.53,8.37,3.91,
10,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_1_substack_frame_1_middleslice,704.03,267.88,2.63,0.38,4.03,8.88,5.16,
11,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_1_substack_frame_2_middleslice,547.42,205.07,2.67,0.37,2.8,7.83,3.96,
12,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_1_substack_frame_3_middleslice,531.84,188.89,2.82,0.36,2.33,6.16,3.15,
13,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_2_substack_frame_1_middleslice,550.92,191.74,2.87,0.35,2.68,7.07,3.64,
14,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_2_substack_frame_2_middleslice,537.18,416.24,1.29,0.77,4.82,10.97,6.24,
15,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_2_substack_frame_3_middleslice,690.34,339.08,2.04,0.49,4.71,11.75,6.35,
16,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_3_substack_frame_1_middleslice,519.64,162.89,3.19,0.31,2.66,7.04,3.65,
17,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_3_substack_frame_2_middleslice,337.56,160.21,2.11,0.47,1.82,5.46,2.6,
18,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_3_substack_frame_3_middleslice,396.09,109.95,3.6,0.28,1.61,5.06,2.34,
19,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_4_substack_frame_1_middleslice,576.52,204.98,2.81,0.36,2.55,6.84,3.53,
