"","Time.point","Sample","variable","statistic","p"
"1","Pre","Pom34-GFP","Norm.Nuc.NE.mean.Ratio",0.981668021777061,0.48038910004457
"2","Pre","Nup170-GFP","Norm.Nuc.NE.mean.Ratio",0.919809660961865,0.00292720603502718
"3","Pre","Nup120-GFP","Norm.Nuc.NE.mean.Ratio",0.970281098646117,0.0860877372030197
"4","Pre","Nup49-GFP","Norm.Nuc.NE.mean.Ratio",0.979451330272612,0.52906004537712
"5","Pre","Mlp1-GFP","Norm.Nuc.NE.mean.Ratio",0.981472475302344,0.341105372936911
"6","Pre","Nup1-GFP","Norm.Nuc.NE.mean.Ratio",0.957852168668674,0.0167400993553882
"7","Pre","Nup2-GFP","Norm.Nuc.NE.mean.Ratio",0.963899575898886,0.0412565940875401
"8","Pre","Nup60-GFP","Norm.Nuc.NE.mean.Ratio",0.978457280974897,0.449708234697725
"9","Anaphase","Pom34-GFP","Norm.Nuc.NE.mean.Ratio",0.981419518879278,0.468812740839686
"10","Anaphase","Nup170-GFP","Norm.Nuc.NE.mean.Ratio",0.956704816456297,0.0742962346383104
"11","Anaphase","Nup120-GFP","Norm.Nuc.NE.mean.Ratio",0.977090839301885,0.212318434760493
"12","Anaphase","Nup49-GFP","Norm.Nuc.NE.mean.Ratio",0.972761943637252,0.298712009220266
"13","Anaphase","Mlp1-GFP","Norm.Nuc.NE.mean.Ratio",0.992386359113133,0.937246131058313
"14","Anaphase","Nup1-GFP","Norm.Nuc.NE.mean.Ratio",0.989265381322924,0.803097913051424
"15","Anaphase","Nup2-GFP","Norm.Nuc.NE.mean.Ratio",0.980947016499329,0.364473049820708
"16","Anaphase","Nup60-GFP","Norm.Nuc.NE.mean.Ratio",0.989355570241858,0.91655532462647
"17","Post","Pom34-GFP","Norm.Nuc.NE.mean.Ratio",0.980915126543156,0.445872287822105
"18","Post","Nup170-GFP","Norm.Nuc.NE.mean.Ratio",0.962362255063479,0.125773549572539
"19","Post","Nup120-GFP","Norm.Nuc.NE.mean.Ratio",0.988320046439855,0.748222421465129
"20","Post","Nup49-GFP","Norm.Nuc.NE.mean.Ratio",0.956400912576189,0.0628423019824739
"21","Post","Mlp1-GFP","Norm.Nuc.NE.mean.Ratio",0.939194900932023,0.0013325570900005
"22","Post","Nup1-GFP","Norm.Nuc.NE.mean.Ratio",0.978841621287564,0.265906346900367
"23","Post","Nup2-GFP","Norm.Nuc.NE.mean.Ratio",0.990067756716527,0.857713181340107
"24","Post","Nup60-GFP","Norm.Nuc.NE.mean.Ratio",0.925066635843223,0.002603211956985
