"","Data.Set","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","n","Sample","Subcomplex"
"1","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_1_substack_frame_1_middleslice",698.7,240.54,2.9,0.34,2.95,7.61,4.01,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_1",149.935622317597,81.5389830508474,0.543826622322813,1.83882134296545,3,"Nup60-GFP","Basket"
"2","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_2_substack_frame_1_middleslice",748.05,324.83,2.3,0.43,2.81,6.91,3.71,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_2",182.451219512195,115.597864768683,0.633582308069783,1.57832689969913,3,"Nup60-GFP","Basket"
"3","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_3_substack_frame_1_middleslice",796.94,281.63,2.83,0.35,2.89,7.09,3.85,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_3",189.747619047619,97.4498269896194,0.513576019971894,1.94713141017512,3,"Nup60-GFP","Basket"
"4","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_4_substack_frame_1_middleslice",678.52,216.99,3.13,0.32,2.51,6.8,3.46,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_4",158.16317016317,86.4501992031873,0.546588685052281,1.82952927374329,3,"Nup60-GFP","Basket"
"5","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_5_substack_frame_1_middleslice",928.23,331.07,2.8,0.36,3.29,7.93,4.36,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_5",200.049568965517,100.629179331307,0.503021225447642,1.98798768205078,3,"Nup60-GFP","Basket"
"6","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_6_substack_frame_1_middleslice",740.87,261.93,2.83,0.35,2.82,7.36,3.88,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_6",163.187224669603,92.8829787234043,0.569180454606416,1.75691205119032,3,"Nup60-GFP","Basket"
"7","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_1_substack_frame_1_middleslice",658.99,336.9,1.96,0.51,3.6,8.17,4.63,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_1",144.199124726477,93.5833333333333,0.648986833386445,1.54086330963288,3,"Nup60-GFP","Basket"
"8","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_2_substack_frame_1_middleslice",721.87,279.54,2.58,0.39,2.82,7.11,3.79,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_2",168.268065268065,99.1276595744681,0.589105600141948,1.69748853135846,3,"Nup60-GFP","Basket"
"9","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_3_substack_frame_1_middleslice",598.68,230.4,2.6,0.38,2.52,6.72,3.51,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_3",142.542857142857,91.4285714285714,0.641411104429745,1.5590625,3,"Nup60-GFP","Basket"
"10","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_4_substack_frame_1_middleslice",831.58,391.29,2.13,0.47,3.46,8.13,4.51,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_4",178.06852248394,113.089595375723,0.63509032252414,1.57457918115575,3,"Nup60-GFP","Basket"
"11","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_6_substack_frame_1_middleslice",776.09,376.25,2.06,0.48,3.82,8.49,4.86,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_6",166.186295503212,98.4947643979058,0.592676815495909,1.68726019620537,3,"Nup60-GFP","Basket"
"12","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_7_substack_frame_1_middleslice",612.83,202.72,3.02,0.33,2.76,7.05,3.73,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_7",142.850815850816,73.4492753623188,0.514167699532249,1.9448907446145,3,"Nup60-GFP","Basket"
"13","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_1_substack_frame_1_middleslice",659.18,254.68,2.59,0.39,2.75,7.21,3.77,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_1",147.798206278027,92.6109090909091,0.626603741839034,1.59590492879132,3,"Nup60-GFP","Basket"
"14","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_2_substack_frame_1_middleslice",899.65,340.65,2.64,0.38,3.33,8.18,4.49,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_2",185.494845360825,102.297297297297,0.551483234471063,1.81329175121546,3,"Nup60-GFP","Basket"
"15","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_3_substack_frame_1_middleslice",732.43,279.28,2.62,0.38,3.14,7.52,4.15,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_3",167.221461187215,88.9426751592357,0.531885527896799,1.88010379593187,3,"Nup60-GFP","Basket"
"16","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_5_substack_frame_1_middleslice",868.4,349.89,2.48,0.4,3.1,7.58,4.14,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_5",193.839285714286,112.867741935484,0.582274854756987,1.71740199981219,3,"Nup60-GFP","Basket"
"17","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_6_substack_frame_1_middleslice",637.91,297.62,2.14,0.47,3.12,7.32,4.06,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_6",151.883333333333,95.3910256410256,0.628054596561126,1.59221826490155,3,"Nup60-GFP","Basket"
"18","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_7_substack_frame_1_middleslice",760.98,260.48,2.92,0.34,3.02,7.31,3.98,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_7",177.384615384615,86.2516556291391,0.48624090337329,2.05659374409374,3,"Nup60-GFP","Basket"
"19","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_8_substack_frame_1_middleslice",642.54,280.67,2.29,0.44,2.98,7.27,3.96,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_8",149.776223776224,94.1845637583893,0.62883521418665,1.59024173176024,3,"Nup60-GFP","Basket"
"20","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_9_substack_frame_1_middleslice",727.11,377.33,1.93,0.52,4.42,9.64,5.62,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_9",139.293103448276,85.368778280543,0.612871536114803,1.63166331126966,3,"Nup60-GFP","Basket"
"21","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_24_R3D_D3D_nucleus_1_substack_frame_1_middleslice",810.19,235.41,3.44,0.29,2.96,7.44,3.98,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_24_R3D_D3D_nucleus_1",180.845982142857,79.5304054054054,0.439768716247073,2.27392254850201,3,"Nup60-GFP","Basket"
"22","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_24_R3D_D3D_nucleus_2_substack_frame_1_middleslice",924.03,324.82,2.84,0.35,2.83,7.22,3.85,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_24_R3D_D3D_nucleus_2",210.485193621868,114.777385159011,0.545299092938602,1.83385597546298,3,"Nup60-GFP","Basket"
"23","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_24_R3D_D3D_nucleus_3_substack_frame_1_middleslice",759.22,227.87,3.33,0.3,2.55,6.75,3.47,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_24_R3D_D3D_nucleus_3",180.766666666667,89.3607843137255,0.494343265611611,2.02288585597051,3,"Nup60-GFP","Basket"
