"","Sample","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","n"
"1","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_11_substack_frame_1",972.58,430.16,2.26,0.44,2.79,6.8,3.66,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_11",242.538653366584,154.179211469534,0.635689236867745,1.57309569205126,2
"2","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_11_substack_frame_2",1109.74,379.31,2.93,0.34,2.56,6.58,3.43,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_11",276.054726368159,148.16796875,0.536734040743778,1.8631201378885,2
"3","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_14_substack_frame_1",715.22,273.74,2.61,0.38,1.89,5.34,2.66,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_14",207.310144927536,144.835978835979,0.69864395148923,1.4313442460475,2
"4","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_14_substack_frame_2",672.79,253.81,2.65,0.38,2.12,5.95,2.98,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_14",175.66318537859,119.721698113208,0.681541199740758,1.46726272803519,2
"5","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_15_substack_frame_1",649.12,258.65,2.51,0.4,1.99,5.54,2.76,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_15",182.850704225352,129.974874371859,0.710825123274742,1.40681577965765,2
"6","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_15_substack_frame_2",661.73,252.86,2.62,0.38,2.74,7.22,3.74,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_15",147.707589285714,92.2846715328467,0.624779484785567,1.60056471819527,2
"7","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_16_substack_frame_1",711.71,285.62,2.49,0.4,1.87,5.41,2.61,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_16",201.04802259887,152.737967914438,0.759708879202361,1.3162936848256,2
"8","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_16_substack_frame_2",541.34,266.48,2.03,0.49,2.34,6.07,3.17,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_16",145.131367292225,113.880341880342,0.784670771074879,1.27441984187859,2
"9","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_18_substack_frame_1",742.65,209.21,3.55,0.28,1.91,5.55,2.7,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_18",204.024725274725,109.534031413613,0.536866457073386,1.86266060549078,2
"10","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_18_substack_frame_2",424.52,201.16,2.11,0.47,1.92,5.47,2.72,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_18",119.583098591549,104.770833333333,0.876134124030277,1.14137775549699,2
