 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210428_NewpCUPCdc5_Nup60GFP_01_11_R3D_D3D_nucleus_1_substack_frame_1_middleslice,937.28,421.12,2.23,0.45,4.42,9.36,5.62,
2,210428_NewpCUPCdc5_Nup60GFP_01_11_R3D_D3D_nucleus_1_substack_frame_2_middleslice,908.37,451.79,2.01,0.5,4.28,9.22,5.41,
3,210428_NewpCUPCdc5_Nup60GFP_01_11_R3D_D3D_nucleus_2_substack_frame_1_middleslice,717.81,391.76,1.83,0.55,2.33,6.06,3.14,
4,210428_NewpCUPCdc5_Nup60GFP_01_11_R3D_D3D_nucleus_2_substack_frame_2_middleslice,715.48,321.67,2.22,0.45,2.09,5.72,2.86,
5,210428_NewpCUPCdc5_Nup60GFP_01_11_R3D_D3D_nucleus_3_substack_frame_1_middleslice,736.96,281.59,2.62,0.38,3.58,8.86,4.86,
6,210428_NewpCUPCdc5_Nup60GFP_01_11_R3D_D3D_nucleus_3_substack_frame_2_middleslice,977.22,441.91,2.21,0.45,4.43,10.06,5.76,
7,210428_NewpCUPCdc5_Nup60GFP_01_11_R3D_D3D_nucleus_4_substack_frame_1_middleslice,998.37,346.24,2.88,0.35,3.68,8.44,4.73,
8,210428_NewpCUPCdc5_Nup60GFP_01_11_R3D_D3D_nucleus_4_substack_frame_2_middleslice,912.48,321.85,2.84,0.35,3.05,7.9,4.22,
9,210428_NewpCUPCdc5_Nup60GFP_01_11_R3D_D3D_nucleus_5_substack_frame_1_middleslice,852.13,345.81,2.46,0.41,3.14,7.99,4.23,
10,210428_NewpCUPCdc5_Nup60GFP_01_11_R3D_D3D_nucleus_5_substack_frame_2_middleslice,723.18,326.79,2.21,0.45,3.92,8.67,5.05,
11,210428_NewpCUPCdc5_Nup60GFP_01_11_R3D_D3D_nucleus_6_substack_frame_1_middleslice,942.88,325.39,2.9,0.35,3.96,8.91,5.09,
12,210428_NewpCUPCdc5_Nup60GFP_01_11_R3D_D3D_nucleus_6_substack_frame_2_middleslice,766.91,391.68,1.96,0.51,4.31,9.72,5.62,
13,210428_NewpCUPCdc5_Nup60GFP_01_11_R3D_D3D_nucleus_7_substack_frame_1_middleslice,809.39,347.22,2.33,0.43,2.58,6.59,3.44,
14,210428_NewpCUPCdc5_Nup60GFP_01_11_R3D_D3D_nucleus_7_substack_frame_2_middleslice,871.73,490.2,1.78,0.56,3.32,7.69,4.41,
15,210428_NewpCUPCdc5_Nup60GFP_01_11_R3D_D3D_nucleus_8_substack_frame_1_middleslice,559.89,192.38,2.91,0.34,3.31,8.07,4.41,1
16,210428_NewpCUPCdc5_Nup60GFP_01_11_R3D_D3D_nucleus_8_substack_frame_2_middleslice,774.67,299.57,2.59,0.39,3.94,9.82,5.33,
17,210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_10_substack_frame_1_middleslice,1065.82,304.09,3.5,0.29,3.46,8.5,4.65,
18,210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_10_substack_frame_2_middleslice,811.43,321.87,2.52,0.4,3.42,8.41,4.59,
19,210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_11_substack_frame_1_middleslice,573.22,235.88,2.43,0.41,2.74,6.94,3.65,
20,210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_11_substack_frame_2_middleslice,616.39,208.7,2.95,0.34,2.87,7.25,3.85,
21,210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_12_substack_frame_1_middleslice,886.88,233.74,3.79,0.26,2.36,6.55,3.26,
22,210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_12_substack_frame_2_middleslice,914.73,348.04,2.63,0.38,3.64,8.58,4.75,
23,210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_13_substack_frame_1_middleslice,979.65,427.88,2.29,0.44,3.88,9.47,5.26,
24,210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_13_substack_frame_2_middleslice,970.08,311.84,3.11,0.32,3.71,8.77,5.04,
25,210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_14_substack_frame_1_middleslice,738.43,228.29,3.23,0.31,2.75,7.34,3.84,
26,210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_14_substack_frame_2_middleslice,802.88,185.3,4.33,0.23,2.89,8.06,4.13,
27,210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_15_substack_frame_1_middleslice,1041.39,556.24,1.87,0.53,3.39,7.78,4.36,
28,210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_15_substack_frame_2_middleslice,1015.92,518.8,1.96,0.51,3.11,7.4,4.07,
