 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210428_NewpCUPCdc5_Nup60GFP_01_01_R3D_D3D_nucleus_10_substack_frame_1_middleslice,959.82,387.75,2.48,0.4,4.31,9.44,5.54,
2,210428_NewpCUPCdc5_Nup60GFP_01_01_R3D_D3D_nucleus_10_substack_frame_2_middleslice,686.51,266.64,2.57,0.39,3.32,7.99,4.37,
3,210428_NewpCUPCdc5_Nup60GFP_01_01_R3D_D3D_nucleus_11_substack_frame_1_middleslice,737.83,283.27,2.6,0.38,2.84,7.1,3.8,
4,210428_NewpCUPCdc5_Nup60GFP_01_01_R3D_D3D_nucleus_11_substack_frame_2_middleslice,678.17,206.8,3.28,0.3,2.68,7.07,3.72,
5,210428_NewpCUPCdc5_Nup60GFP_01_01_R3D_D3D_nucleus_12_substack_frame_1_middleslice,660.9,310.77,2.13,0.47,1.8,5.34,2.54,
6,210428_NewpCUPCdc5_Nup60GFP_01_01_R3D_D3D_nucleus_12_substack_frame_2_middleslice,720.12,228.87,3.15,0.32,1.4,4.66,2.09,
7,210428_NewpCUPCdc5_Nup60GFP_01_01_R3D_D3D_nucleus_1_substack_frame_1_middleslice,659.76,293.27,2.25,0.44,3.36,7.55,4.34,
8,210428_NewpCUPCdc5_Nup60GFP_01_01_R3D_D3D_nucleus_1_substack_frame_2_middleslice,706.76,233.01,3.03,0.33,2.88,7.32,3.91,
9,210428_NewpCUPCdc5_Nup60GFP_01_01_R3D_D3D_nucleus_2_substack_frame_1_middleslice,598.4,269.73,2.22,0.45,2.63,6.65,3.52,
10,210428_NewpCUPCdc5_Nup60GFP_01_01_R3D_D3D_nucleus_2_substack_frame_2_middleslice,564.54,259.53,2.18,0.46,2.7,6.9,3.64,
11,210428_NewpCUPCdc5_Nup60GFP_01_01_R3D_D3D_nucleus_3_substack_frame_1_middleslice,582.46,241.01,2.42,0.41,2.27,6.1,3.09,
12,210428_NewpCUPCdc5_Nup60GFP_01_01_R3D_D3D_nucleus_3_substack_frame_2_middleslice,593.63,268.24,2.21,0.45,2.19,5.92,3.01,
13,210428_NewpCUPCdc5_Nup60GFP_01_01_R3D_D3D_nucleus_4_substack_frame_1_middleslice,775.88,397.83,1.95,0.51,4.13,9.26,5.32,
14,210428_NewpCUPCdc5_Nup60GFP_01_01_R3D_D3D_nucleus_4_substack_frame_2_middleslice,593.85,227.09,2.62,0.38,3.12,7.6,4.13,
15,210428_NewpCUPCdc5_Nup60GFP_01_01_R3D_D3D_nucleus_5_substack_frame_1_middleslice,706.53,331.89,2.13,0.47,3.32,8.02,4.38,
16,210428_NewpCUPCdc5_Nup60GFP_01_01_R3D_D3D_nucleus_5_substack_frame_2_middleslice,875.13,373.95,2.34,0.43,3.49,8.3,4.59,
17,210428_NewpCUPCdc5_Nup60GFP_01_01_R3D_D3D_nucleus_6_substack_frame_1_middleslice,598.42,204.36,2.93,0.34,1.22,4.3,1.85,
18,210428_NewpCUPCdc5_Nup60GFP_01_01_R3D_D3D_nucleus_6_substack_frame_2_middleslice,563.86,232.06,2.43,0.41,1.47,4.73,2.15,
19,210428_NewpCUPCdc5_Nup60GFP_01_01_R3D_D3D_nucleus_7_substack_frame_1_middleslice,660.4,327.13,2.02,0.5,3.59,8.44,4.68,1
