 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210428_NewpCUPCdc5_Nup60GFP_01_21_R3D_D3D_nucleus_1_substack_frame_1_middleslice,985.45,370.93,2.66,0.38,3.63,8.29,4.68,
2,210428_NewpCUPCdc5_Nup60GFP_01_21_R3D_D3D_nucleus_1_substack_frame_2_middleslice,1083.98,366.88,2.95,0.34,3.46,7.94,4.49,
3,210428_NewpCUPCdc5_Nup60GFP_01_21_R3D_D3D_nucleus_2_substack_frame_1_middleslice,763.36,226.24,3.37,0.3,2.51,6.52,3.42,
4,210428_NewpCUPCdc5_Nup60GFP_01_21_R3D_D3D_nucleus_2_substack_frame_2_middleslice,830.24,334.5,2.48,0.4,3.29,7.86,4.29,
5,210428_NewpCUPCdc5_Nup60GFP_01_21_R3D_D3D_nucleus_3_substack_frame_1_middleslice,753.2,400.37,1.88,0.53,3.6,8.08,4.62,
6,210428_NewpCUPCdc5_Nup60GFP_01_21_R3D_D3D_nucleus_3_substack_frame_2_middleslice,859.05,365.22,2.35,0.43,3.37,7.75,4.36,
7,210428_NewpCUPCdc5_Nup60GFP_01_21_R3D_D3D_nucleus_4_substack_frame_1_middleslice,843.7,330.14,2.56,0.39,3.51,8.17,4.56,
8,210428_NewpCUPCdc5_Nup60GFP_01_21_R3D_D3D_nucleus_4_substack_frame_2_middleslice,850.95,382.1,2.23,0.45,3.94,8.79,5.01,
9,210428_NewpCUPCdc5_Nup60GFP_01_21_R3D_D3D_nucleus_5_substack_frame_1_middleslice,907.77,323.4,2.81,0.36,3.09,7.47,4.06,
10,210428_NewpCUPCdc5_Nup60GFP_01_21_R3D_D3D_nucleus_5_substack_frame_2_middleslice,790.08,269.36,2.93,0.34,2.72,7.1,3.74,
11,210428_NewpCUPCdc5_Nup60GFP_01_21_R3D_D3D_nucleus_6_substack_frame_1_middleslice,1044.24,568.36,1.84,0.54,4.14,9.08,5.26,
12,210428_NewpCUPCdc5_Nup60GFP_01_21_R3D_D3D_nucleus_6_substack_frame_2_middleslice,1147.03,363.32,3.16,0.32,3.38,8.35,4.58,
13,210428_NewpCUPCdc5_Nup60GFP_01_21_R3D_D3D_nucleus_7_substack_frame_1_middleslice,603.32,234.84,2.57,0.39,2.18,5.91,2.97,
14,210428_NewpCUPCdc5_Nup60GFP_01_21_R3D_D3D_nucleus_7_substack_frame_2_middleslice,514.31,309.56,1.66,0.6,2.4,6.23,3.23,
15,210428_NewpCUPCdc5_Nup60GFP_01_21_R3D_D3D_nucleus_8_substack_frame_1_middleslice,552.57,316.66,1.75,0.57,2.39,6.21,3.22,
16,210428_NewpCUPCdc5_Nup60GFP_01_21_R3D_D3D_nucleus_8_substack_frame_2_middleslice,615.89,229.79,2.68,0.37,2.12,5.95,2.94,
17,210428_NewpCUPCdc5_Nup60GFP_01_22_R3D_D3D_nucleus_10_substack_frame_1_middleslice,798.42,327.44,2.44,0.41,3.09,7.47,4.05,
18,210428_NewpCUPCdc5_Nup60GFP_01_22_R3D_D3D_nucleus_10_substack_frame_2_middleslice,859.85,358.27,2.4,0.42,3.54,8.11,4.55,
19,210428_NewpCUPCdc5_Nup60GFP_01_22_R3D_D3D_nucleus_11_substack_frame_1_middleslice,993.62,311.2,3.19,0.31,3.4,7.97,4.44,
20,210428_NewpCUPCdc5_Nup60GFP_01_22_R3D_D3D_nucleus_11_substack_frame_2_middleslice,946.57,365.09,2.59,0.39,3.94,8.79,5.01,
