 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_31_R3D_D3D_nucleus_1_substack_frame_1,732.24,227.07,3.22,0.31,2.52,6.62,3.45,
2,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_31_R3D_D3D_nucleus_1_substack_frame_2,464.74,188.44,2.47,0.41,1.74,5.28,2.48,
3,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_31_R3D_D3D_nucleus_1_substack_frame_3,471.14,188.09,2.5,0.4,2.03,5.57,2.79,
4,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_31_R3D_D3D_nucleus_2_substack_frame_1,781.59,265.51,2.94,0.34,2.98,7.27,3.95,
5,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_31_R3D_D3D_nucleus_2_substack_frame_2,499.85,265.63,1.88,0.53,2.33,6.62,3.44,
6,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_31_R3D_D3D_nucleus_2_substack_frame_3,524.19,138.95,3.77,0.27,1.59,5.5,2.46,
7,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_31_R3D_D3D_nucleus_3_substack_frame_1,779.93,375.41,2.08,0.48,4.01,9.05,5.16,
8,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_31_R3D_D3D_nucleus_3_substack_frame_2,770.18,482.6,1.6,0.63,5.08,11.24,6.49,
9,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_31_R3D_D3D_nucleus_3_substack_frame_3,393.44,141.96,2.77,0.36,1.64,5.07,2.38,
10,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_32_R3D_D3D_nucleus_1_substack_frame_1,761.43,269.08,2.83,0.35,2.75,6.95,3.7,
11,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_32_R3D_D3D_nucleus_1_substack_frame_2,444.76,283.93,1.57,0.64,2.32,6.33,3.18,
12,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_32_R3D_D3D_nucleus_1_substack_frame_3,405.49,167.16,2.43,0.41,1.67,5.21,2.44,
13,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_32_R3D_D3D_nucleus_2_substack_frame_1,788.58,264.48,2.98,0.34,2.87,7.34,3.86,
14,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_32_R3D_D3D_nucleus_2_substack_frame_2,562.4,457.76,1.23,0.81,4,9.5,5.25,
15,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_32_R3D_D3D_nucleus_2_substack_frame_3,623.89,364.59,1.71,0.58,3.89,9.21,5.14,
16,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_32_R3D_D3D_nucleus_3_substack_frame_1,552.76,204.14,2.71,0.37,2.62,6.91,3.57,
17,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_32_R3D_D3D_nucleus_3_substack_frame_2,615.49,370.73,1.66,0.6,3.61,8.74,4.78,
18,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_32_R3D_D3D_nucleus_3_substack_frame_3,458.47,143.11,3.2,0.31,1.67,5.12,2.41,
19,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_32_R3D_D3D_nucleus_4_substack_frame_1,635.74,237.96,2.67,0.37,2.2,5.99,3.12,
20,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_32_R3D_D3D_nucleus_4_substack_frame_2,754.23,419.02,1.8,0.56,3.45,9.51,4.85,
21,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_32_R3D_D3D_nucleus_4_substack_frame_3,452.94,138.27,3.28,0.31,1.47,4.64,2.15,
22,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_33_R3D_D3D_nucleus_1_substack_frame_1,733.29,298.52,2.46,0.41,3.56,8.97,4.77,
