"","Time.point","Sample","variable","n","min","max","median","iqr","mean","sd","se","ci"
"1","Pre","WT","Norm.Nuc.NE.mean.Ratio",249,0.659,1.659,0.961,0.243,1,0.178,0.011,0.022
"2","Pre","S89A","Norm.Nuc.NE.mean.Ratio",136,0.686,1.633,0.944,0.235,0.985,0.179,0.015,0.03
"3","Pre","Nterm3A","Norm.Nuc.NE.mean.Ratio",117,0.575,1.381,0.924,0.235,0.92,0.169,0.016,0.031
"4","Pre","Nterm5A","Norm.Nuc.NE.mean.Ratio",138,0.579,1.441,0.922,0.171,0.923,0.156,0.013,0.026
"5","Pre","Cterm4A","Norm.Nuc.NE.mean.Ratio",133,0.616,1.788,1.019,0.235,1.053,0.198,0.017,0.034
"6","Pre","9A","Norm.Nuc.NE.mean.Ratio",266,0.563,1.488,0.936,0.203,0.944,0.147,0.009,0.018
"7","Post","WT","Norm.Nuc.NE.mean.Ratio",249,1.035,2.478,1.551,0.306,1.596,0.239,0.015,0.03
"8","Post","S89A","Norm.Nuc.NE.mean.Ratio",136,1.002,2.515,1.537,0.325,1.553,0.244,0.021,0.041
"9","Post","Nterm3A","Norm.Nuc.NE.mean.Ratio",117,0.871,2.1,1.136,0.27,1.176,0.223,0.021,0.041
"10","Post","Nterm5A","Norm.Nuc.NE.mean.Ratio",138,0.833,1.912,1.11,0.272,1.161,0.208,0.018,0.035
"11","Post","Cterm4A","Norm.Nuc.NE.mean.Ratio",133,1.262,2.628,1.694,0.335,1.745,0.277,0.024,0.048
"12","Post","9A","Norm.Nuc.NE.mean.Ratio",266,0.841,1.877,1.19,0.218,1.222,0.187,0.011,0.023
