"","Data.Set","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","n","Sample","Experiment"
"1","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_1_substack_frame_1_middleslice",797.42,258.25,3.09,0.32,2.75,7.04,3.7,0,"Pre","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_1",185.878787878788,93.9090909090909,0.505216824258233,1.97934817683124,2,"Nup60-WT","pCUP-Cdc5_induction"
"2","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_1_substack_frame_2_middleslice",447.17,419.79,1.07,0.94,3.45,7.83,4.47,0,"Post","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_1",102.093607305936,121.678260869565,1.19183036117963,0.839045582804449,2,"Nup60-WT","pCUP-Cdc5_induction"
"3","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_2_substack_frame_1_middleslice",916.72,355.24,2.58,0.39,3.12,7.69,4.17,0,"Pre","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_2",200.595185995624,113.858974358974,0.56760571692612,1.76178634249056,2,"Nup60-WT","pCUP-Cdc5_induction"
"4","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_2_substack_frame_2_middleslice",769.49,360.16,2.14,0.47,2.86,8.03,4.07,0,"Post","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_2",148.83752417795,125.93006993007,0.846090867377694,1.18190615045795,2,"Nup60-WT","pCUP-Cdc5_induction"
"5","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_3_substack_frame_1_middleslice",846.32,306.49,2.76,0.36,3.03,7.41,4.02,0,"Pre","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_3",193.223744292237,101.151815181518,0.523495782322348,1.910235065436,2,"Nup60-WT","pCUP-Cdc5_induction"
"6","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_3_substack_frame_2_middleslice",587.52,494.31,1.19,0.84,3.11,7.59,4.1,0,"Post","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_3",131.142857142857,158.942122186495,1.21197696656369,0.825098188817312,2,"Nup60-WT","pCUP-Cdc5_induction"
"7","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_4_substack_frame_1_middleslice",807.23,256.77,3.14,0.32,1.92,5.47,2.69,0,"Pre","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_4",227.388732394366,133.734375,0.588131054656046,1.70030130543749,2,"Nup60-WT","pCUP-Cdc5_induction"
"8","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_4_substack_frame_2_middleslice",701.47,424.37,1.65,0.6,2.53,6.73,3.47,0,"Post","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_4",167.016666666667,167.735177865613,1.00430203292453,0.995716395283989,2,"Nup60-WT","pCUP-Cdc5_induction"
"9","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_5_substack_frame_1_middleslice",864.95,304.84,2.84,0.35,4.01,8.92,5.13,0,"Pre","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_5",176.160896130346,76.0199501246883,0.431537031171998,2.31729823344275,2,"Nup60-WT","pCUP-Cdc5_induction"
"10","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_5_substack_frame_2_middleslice",773.2,477.72,1.62,0.62,3.02,7.4,3.98,0,"Post","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_5",176.529680365297,158.185430463576,0.896084047375147,1.11596674768315,2,"Nup60-WT","pCUP-Cdc5_induction"
