 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_1_substack_frame_1,720.65,236.05,3.05,0.33,3.1,7.55,4.12,
2,201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_1_substack_frame_2,698.7,240.54,2.9,0.34,2.95,7.61,4.01,
3,201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_1_substack_frame_3,557.02,482.61,1.15,0.87,4.02,9.53,5.29,
4,201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_1_substack_frame_4,391.89,156.64,2.5,0.4,1.76,5.12,2.49,
5,201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_2_substack_frame_1,915.95,316.92,2.89,0.35,2.84,7.37,3.91,
6,201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_2_substack_frame_2,744.7,305.78,2.44,0.41,3.11,7.4,4.07,
7,201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_2_substack_frame_3,749.37,559.76,1.34,0.75,3.7,9.73,5.11,
8,201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_2_substack_frame_4,475.67,223.02,2.13,0.47,1.62,4.98,2.32,
9,201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_3_substack_frame_1,991.76,269.58,3.68,0.27,3.28,7.92,4.36,
10,201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_3_substack_frame_2,796.94,281.63,2.83,0.35,2.89,7.09,3.85,
11,201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_3_substack_frame_3,539.51,335.83,1.61,0.62,2.54,7.11,3.54,
12,201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_3_substack_frame_4,513.72,211.94,2.42,0.41,1.89,5.53,2.67,
13,201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_4_substack_frame_1,972.4,315.44,3.08,0.32,3.74,8.87,4.92,
14,201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_4_substack_frame_2,678.52,216.99,3.13,0.32,2.51,6.8,3.46,
15,201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_4_substack_frame_3,451.5,261.88,1.72,0.58,1.85,5.3,2.6,
16,201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_4_substack_frame_4,424.8,207.16,2.05,0.49,2.04,5.68,2.84,
17,201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_6_substack_frame_1,844.26,323.41,2.61,0.38,3.46,8.28,4.55,
18,201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_6_substack_frame_2,740.87,261.93,2.83,0.35,2.82,7.36,3.88,
19,201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_6_substack_frame_3,609.49,322.14,1.89,0.53,2.36,6.65,3.37,
20,201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_6_substack_frame_4,399.68,198.94,2.01,0.5,1.84,5.57,2.67,
21,201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_1_substack_frame_1,696.54,245.65,2.84,0.35,2.79,7.25,3.79,
22,201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_1_substack_frame_2,658.99,336.9,1.96,0.51,3.6,8.17,4.63,
23,201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_1_substack_frame_3,603.32,579.07,1.04,0.96,4.63,10.57,6.02,
24,201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_1_substack_frame_4,471.36,177.88,2.65,0.38,1.92,5.65,2.73,
25,201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_2_substack_frame_1,824.31,310,2.66,0.38,2.8,7.09,3.75,
26,201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_2_substack_frame_2,723.01,240.05,3.01,0.33,2.49,6.69,3.43,
27,201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_2_substack_frame_3,682.02,479.59,1.42,0.7,3.57,8.85,4.78,
28,201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_2_substack_frame_4,434.56,250.44,1.74,0.58,2.11,6.19,3.02,
29,201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_3_substack_frame_1,844.65,285.33,2.96,0.34,3,7.57,4,
30,201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_3_substack_frame_2,598.68,230.4,2.6,0.38,2.52,6.72,3.51,
31,201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_3_substack_frame_3,480.54,352.89,1.36,0.73,2.55,7.03,3.65,
32,201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_3_substack_frame_4,462.44,186.14,2.48,0.4,2.01,5.83,2.84,
33,201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_4_substack_frame_1,967.65,304.59,3.18,0.31,3.1,7.86,4.15,
34,201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_4_substack_frame_2,831.58,391.29,2.13,0.47,3.46,8.13,4.51,
35,201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_4_substack_frame_3,504.32,353.76,1.43,0.7,2.05,5.6,2.8,
36,201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_4_substack_frame_4,389.34,121.3,3.21,0.31,1.43,4.7,2.12,
