 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,201211_HighTimeResolution_Nup60GFP_01_31_R3D_D3D_nucleus_4_substack_frame_1,472.91,365.51,1.29,0.77,3.64,8.11,4.64,
2,201211_HighTimeResolution_Nup60GFP_01_31_R3D_D3D_nucleus_4_substack_frame_2,465.05,354.18,1.31,0.76,3.5,8.44,4.61,
3,201211_HighTimeResolution_Nup60GFP_01_31_R3D_D3D_nucleus_4_substack_frame_3,293.45,277.11,1.06,0.94,2.17,5.99,3.05,
4,201211_HighTimeResolution_Nup60GFP_01_31_R3D_D3D_nucleus_4_substack_frame_4,281.4,245.67,1.15,0.87,1.98,5.53,2.73,
5,201211_HighTimeResolution_Nup60GFP_01_31_R3D_D3D_nucleus_5_substack_frame_1,433.65,230.19,1.88,0.53,2.47,6.67,3.44,
6,201211_HighTimeResolution_Nup60GFP_01_31_R3D_D3D_nucleus_5_substack_frame_2,433.91,346.69,1.25,0.8,3.28,7.85,4.36,
7,201211_HighTimeResolution_Nup60GFP_01_31_R3D_D3D_nucleus_5_substack_frame_3,268.15,231.68,1.16,0.86,2.01,5.92,2.9,
8,201211_HighTimeResolution_Nup60GFP_01_31_R3D_D3D_nucleus_5_substack_frame_4,303.35,247.31,1.23,0.82,1.9,5.72,2.73,
9,201211_HighTimeResolution_Nup60GFP_01_31_R3D_D3D_nucleus_7_substack_frame_1,587.14,277.91,2.11,0.47,3.36,8.08,4.44,
10,201211_HighTimeResolution_Nup60GFP_01_31_R3D_D3D_nucleus_7_substack_frame_2,564.54,379.18,1.49,0.67,3.05,7.53,4.05,
11,201211_HighTimeResolution_Nup60GFP_01_31_R3D_D3D_nucleus_7_substack_frame_3,514.39,562.4,0.91,1.09,4.44,10.88,5.95,
12,201211_HighTimeResolution_Nup60GFP_01_31_R3D_D3D_nucleus_7_substack_frame_4,316.62,236.33,1.34,0.75,1.96,5.69,2.76,
13,201211_HighTimeResolution_Nup60GFP_01_31_R3D_D3D_nucleus_8_substack_frame_1,478.07,303.97,1.57,0.64,3.47,8.32,4.57,
14,201211_HighTimeResolution_Nup60GFP_01_31_R3D_D3D_nucleus_8_substack_frame_2,477.35,238.87,2,0.5,2.22,6.04,3.05,
