"","Data.Set","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","Sample"
"1","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_1_substack_frame_1",720.65,236.05,3.05,0.33,3.1,7.55,4.12,0,"-45 min","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_1",161.943820224719,76.1451612903226,0.470194918118276,2.12677755855382,"Nup60-GFP_WT"
"2","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_1_substack_frame_2",698.7,240.54,2.9,0.34,2.95,7.61,4.01,0,"-10 min","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_1",149.935622317597,81.5389830508474,0.543826622322813,1.83882134296545,"Nup60-GFP_WT"
"3","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_1_substack_frame_3",557.02,482.61,1.15,0.87,4.02,9.53,5.29,0,"Anaphase I","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_1",101.092558983666,120.05223880597,1.18754772866485,0.842071418152002,"Nup60-GFP_WT"
"4","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_1_substack_frame_4",391.89,156.64,2.5,0.4,1.76,5.12,2.49,0,"+10 min","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_1",116.633928571429,89,0.763071269999234,1.31049357945425,"Nup60-GFP_WT"
"5","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_2_substack_frame_1",915.95,316.92,2.89,0.35,2.84,7.37,3.91,0,"-45 min","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_2",202.19646799117,111.591549295775,0.55189663006699,1.81193351348896,"Nup60-GFP_WT"
"6","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_2_substack_frame_2",744.7,305.78,2.44,0.41,3.11,7.4,4.07,0,"-10 min","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_2",173.589743589744,98.3215434083601,0.56640180102305,1.76553110917687,"Nup60-GFP_WT"
"7","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_2_substack_frame_3",749.37,559.76,1.34,0.75,3.7,9.73,5.11,0,"Anaphase I","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_2",124.273631840796,151.286486486486,1.21736593873989,0.821445687099731,"Nup60-GFP_WT"
"8","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_2_substack_frame_4",475.67,223.02,2.13,0.47,1.62,4.98,2.32,0,"+10 min","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_2",141.568452380952,137.666666666667,0.97243887569113,1.02834226911103,"Nup60-GFP_WT"
"9","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_3_substack_frame_1",991.76,269.58,3.68,0.27,3.28,7.92,4.36,0,"-45 min","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_3",213.741379310345,82.1890243902439,0.38452556381658,2.60060733043227,"Nup60-GFP_WT"
"10","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_3_substack_frame_2",796.94,281.63,2.83,0.35,2.89,7.09,3.85,0,"-10 min","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_3",189.747619047619,97.4498269896194,0.513576019971894,1.94713141017512,"Nup60-GFP_WT"
"11","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_3_substack_frame_3",539.51,335.83,1.61,0.62,2.54,7.11,3.54,0,"Anaphase I","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_3",118.054704595186,132.216535433071,1.11995990237277,0.892889109584529,"Nup60-GFP_WT"
"12","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_3_substack_frame_4",513.72,211.94,2.42,0.41,1.89,5.53,2.67,0,"+10 min","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_3",141.131868131868,112.137566137566,0.794558788329714,1.25856011498174,"Nup60-GFP_WT"
"13","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_4_substack_frame_1",972.4,315.44,3.08,0.32,3.74,8.87,4.92,0,"-45 min","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_4",189.551656920078,84.3422459893048,0.444956521930413,2.24741059117769,"Nup60-GFP_WT"
"14","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_4_substack_frame_2",678.52,216.99,3.13,0.32,2.51,6.8,3.46,0,"-10 min","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_4",158.16317016317,86.4501992031873,0.546588685052281,1.82952927374329,"Nup60-GFP_WT"
"15","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_4_substack_frame_3",451.5,261.88,1.72,0.58,1.85,5.3,2.6,0,"Anaphase I","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_4",130.869565217391,141.556756756757,1.08166292538386,0.92450242726506,"Nup60-GFP_WT"
"16","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_4_substack_frame_4",424.8,207.16,2.05,0.49,2.04,5.68,2.84,0,"+10 min","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_4",116.703296703297,101.549019607843,0.870146966507884,1.14923115116203,"Nup60-GFP_WT"
"17","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_6_substack_frame_1",844.26,323.41,2.61,0.38,3.46,8.28,4.55,0,"-45 min","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_6",175.157676348548,93.471098265896,0.533639747994242,1.87392337950581,"Nup60-GFP_WT"
"18","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_6_substack_frame_2",740.87,261.93,2.83,0.35,2.82,7.36,3.88,0,"-10 min","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_6",163.187224669603,92.8829787234043,0.569180454606416,1.75691205119032,"Nup60-GFP_WT"
"19","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_6_substack_frame_3",609.49,322.14,1.89,0.53,2.36,6.65,3.37,0,"Anaphase I","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_6",142.072261072261,136.5,0.960778683817618,1.04082242543781,"Nup60-GFP_WT"
"20","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_6_substack_frame_4",399.68,198.94,2.01,0.5,1.84,5.57,2.67,0,"+10 min","201211_HighTimeResolution_Nup60GFP_01_21_R3D_D3D_nucleus_6",107.152815013405,108.119565217391,1.00902216338288,0.991058508216874,"Nup60-GFP_WT"
"21","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_1_substack_frame_1",696.54,245.65,2.84,0.35,2.79,7.25,3.79,0,"-45 min","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_1",156.174887892377,88.0465949820789,0.563769221609774,1.7737754415621,"Nup60-GFP_WT"
"22","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_1_substack_frame_2",658.99,336.9,1.96,0.51,3.6,8.17,4.63,0,"-10 min","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_1",144.199124726477,93.5833333333333,0.648986833386445,1.54086330963288,"Nup60-GFP_WT"
"23","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_1_substack_frame_3",603.32,579.07,1.04,0.96,4.63,10.57,6.02,0,"Anaphase I","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_1",101.569023569024,125.069114470842,1.23137064900352,0.812103163908645,"Nup60-GFP_WT"
"24","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_1_substack_frame_4",471.36,177.88,2.65,0.38,1.92,5.65,2.73,0,"+10 min","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_1",126.369973190349,92.6458333333333,0.733131700469563,1.36401140389852,"Nup60-GFP_WT"
"25","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_2_substack_frame_1",824.31,310,2.66,0.38,2.8,7.09,3.75,0,"-45 min","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_2",192.146853146853,110.714285714286,0.576196195259412,1.73551996390706,"Nup60-GFP_WT"
"26","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_2_substack_frame_2",723.01,240.05,3.01,0.33,2.49,6.69,3.43,0,"-10 min","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_2",172.145238095238,96.4056224899598,0.560024915917942,1.78563483798018,"Nup60-GFP_WT"
"27","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_2_substack_frame_3",682.02,479.59,1.42,0.7,3.57,8.85,4.78,0,"Anaphase I","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_2",129.170454545455,134.33893557423,1.04001287327634,0.961526559618159,"Nup60-GFP_WT"
"28","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_2_substack_frame_4",434.56,250.44,1.74,0.58,2.11,6.19,3.02,0,"+10 min","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_2",106.509803921569,118.691943127962,1.1143757546992,0.89736338553949,"Nup60-GFP_WT"
"29","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_3_substack_frame_1",844.65,285.33,2.96,0.34,3,7.57,4,0,"-45 min","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_3",184.824945295405,95.11,0.514595039365418,1.94327563132588,"Nup60-GFP_WT"
"30","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_3_substack_frame_2",598.68,230.4,2.6,0.38,2.52,6.72,3.51,0,"-10 min","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_3",142.542857142857,91.4285714285714,0.641411104429745,1.5590625,"Nup60-GFP_WT"
"31","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_3_substack_frame_3",480.54,352.89,1.36,0.73,2.55,7.03,3.65,0,"Anaphase I","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_3",107.263392857143,138.388235294118,1.29017208581522,0.775090401501075,"Nup60-GFP_WT"
"32","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_3_substack_frame_4",462.44,186.14,2.48,0.4,2.01,5.83,2.84,0,"+10 min","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_3",121.057591623037,92.6069651741294,0.764982715520228,1.30721907791073,"Nup60-GFP_WT"
"33","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_4_substack_frame_1",967.65,304.59,3.18,0.31,3.1,7.86,4.15,0,"-45 min","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_4",203.28781512605,98.2548387096774,0.483328716228042,2.06898528149564,"Nup60-GFP_WT"
"34","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_4_substack_frame_2",831.58,391.29,2.13,0.47,3.46,8.13,4.51,0,"-10 min","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_4",178.06852248394,113.089595375723,0.63509032252414,1.57457918115575,"Nup60-GFP_WT"
"35","201211_14646_4timepoints_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_4_substack_frame_3",504.32,353.76,1.43,0.7,2.05,5.6,2.8,0,"Anaphase I","201211_HighTimeResolution_Nup60GFP_01_22_R3D_D3D_nucleus_4",142.061971830986,172.565853658537,1.21472235978705,0.823233384931935,"Nup60-GFP_WT"
