 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_10_substack_frame_1,473.04,285.69,1.66,0.6,3.16,7.45,4.1,
2,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_10_substack_frame_2,394.03,198.84,1.98,0.5,2.39,6.4,3.31,
3,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_11_substack_frame_1,447.78,276.66,1.62,0.62,2.75,6.95,3.68,
4,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_11_substack_frame_2,396.23,305.76,1.3,0.77,3.4,7.97,4.43,
5,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_12_substack_frame_1,481.15,208.35,2.31,0.43,2.37,6.1,3.21,
6,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_12_substack_frame_2,314.13,201.85,1.56,0.64,2.46,6.9,3.5,
7,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_13_substack_frame_1,496.97,385.53,1.29,0.78,3.53,8.2,4.58,
8,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_13_substack_frame_2,452.14,275.15,1.64,0.61,3.07,7.54,4.07,
9,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_14_substack_frame_1,562.7,291.71,1.93,0.52,2.61,6.86,3.57,
10,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_14_substack_frame_2,491.97,270.29,1.82,0.55,2.54,7.09,3.63,
11,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_15_substack_frame_1,393.56,261.08,1.51,0.66,2.47,6.3,3.36,
12,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_15_substack_frame_2,454.97,304.77,1.49,0.67,3.42,7.89,4.44,
13,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_16_substack_frame_1,547.15,300.62,1.82,0.55,2.87,7.07,3.78,
14,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_16_substack_frame_2,438.77,285.99,1.53,0.65,3.19,7.76,4.22,
15,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_17_substack_frame_1,507.84,345.72,1.47,0.68,2.89,7.09,3.85,
16,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_17_substack_frame_2,478.52,320.06,1.5,0.67,3.28,7.85,4.33,
17,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_18_substack_frame_1,397.57,181.15,2.19,0.46,2.01,5.74,2.82,
18,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_18_substack_frame_2,334.5,199.08,1.68,0.6,2.67,6.96,3.61,
19,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_19_substack_frame_1,450.65,320.04,1.41,0.71,3.19,7.76,4.26,
20,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_19_substack_frame_2,475.37,217.79,2.18,0.46,2.77,7.25,3.78,
21,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_1_substack_frame_1,408.23,201.38,2.03,0.49,1.89,5.43,2.63,
22,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_1_substack_frame_2,381.68,252.68,1.51,0.66,2.8,7,3.73,
23,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_20_substack_frame_1,473.41,264.46,1.79,0.56,2.75,6.86,3.68,
24,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_20_substack_frame_2,426.4,270.63,1.58,0.63,3.29,7.95,4.33,
25,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_21_substack_frame_1,445.55,319.01,1.4,0.72,2.51,6.42,3.37,
26,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_21_substack_frame_2,460.07,305.16,1.51,0.66,3.29,7.73,4.31,
27,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_22_substack_frame_1,477.87,339.71,1.41,0.71,3.04,7.33,3.99,
28,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_22_substack_frame_2,483.69,308.57,1.57,0.64,2.81,7.29,3.79,
29,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_23_substack_frame_1,404.22,188.89,2.14,0.47,1.64,5.09,2.39,
30,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_23_substack_frame_2,404.27,227.02,1.78,0.56,2.7,6.81,3.6,
31,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_24_substack_frame_1,353.64,173.76,2.04,0.49,1.29,4.37,1.92,
32,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_21_R3D_D3D_nucleus_24_substack_frame_2,316.8,132.65,2.39,0.42,1.28,4.36,1.91,
