"","Data.Set","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","Sample"
"1","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_10_substack_frame_1",368.64,218,1.69,0.59,2.8,7,3.73,0,"Pre","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_10",87.7714285714286,77.8571428571429,0.887044270833333,1.12733944954128,"Cdc20mn"
"2","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_10_substack_frame_2",408.82,235.57,1.74,0.58,1.8,5.81,2.68,0,"Metaphase I","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_10",101.950124688279,130.872222222222,1.28368869211661,0.779005070420269,"Cdc20mn"
"3","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_11_substack_frame_1",419.98,218.52,1.92,0.52,2.55,6.56,3.42,0,"Pre","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_11",104.733167082294,85.6941176470588,0.818213752475608,1.22217451976867,"Cdc20mn"
"4","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_11_substack_frame_2",316.29,182.77,1.73,0.58,1.76,5.77,2.63,0,"Metaphase I","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_11",78.8753117206983,103.846590909091,1.31659182884522,0.759536842088028,"Cdc20mn"
"5","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_13_substack_frame_1",498.45,199.41,2.5,0.4,2.39,6.4,3.3,0,"Pre","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_13",124.30174563591,83.4351464435146,0.671230689614793,1.48980077262838,"Cdc20mn"
"6","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_13_substack_frame_2",314.2,305.81,1.03,0.97,2.82,7.3,3.82,0,"Metaphase I","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_13",70.1339285714286,108.443262411348,1.54623111267612,0.646733849682576,"Cdc20mn"
"7","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_14_substack_frame_1",469.57,214.09,2.19,0.46,2.69,6.8,3.6,0,"Pre","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_14",114.250608272506,79.5873605947955,0.696603386171624,1.43553709305919,"Cdc20mn"
"8","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_14_substack_frame_2",299.8,257.11,1.17,0.86,2.44,6.6,3.37,0,"Metaphase I","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_14",72.0673076923077,105.372950819672,1.46214634893207,0.683926065766523,"Cdc20mn"
"9","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_18_substack_frame_1",494.76,241.76,2.05,0.49,2.31,6.13,3.15,0,"Pre","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_18",129.51832460733,104.658008658009,0.808055608928759,1.23753859134237,"Cdc20mn"
"10","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_18_substack_frame_2",303.5,293.98,1.03,0.97,2.73,6.93,3.64,0,"Metaphase I","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_18",72.2619047619048,107.684981684982,1.49020402990749,0.671049050955847,"Cdc20mn"
"11","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_19_substack_frame_1",531.81,239.07,2.22,0.45,2.73,6.93,3.67,0,"Pre","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_19",126.621428571429,87.5714285714286,0.691600383595645,1.44592169657423,"Cdc20mn"
"12","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_19_substack_frame_2",295.7,267.31,1.11,0.9,1.99,5.63,2.77,0,"Metaphase I","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_19",81.2362637362637,134.326633165829,1.65353041840926,0.60476661866434,"Cdc20mn"
"13","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_1_substack_frame_1",480.16,389.47,1.23,0.81,2.77,6.97,3.68,0,"Pre","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_1",114.32380952381,140.602888086643,1.22986531565291,0.81309716378913,"Cdc20mn"
"14","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_1_substack_frame_2",383.39,366.85,1.05,0.96,3.07,7.82,4.14,0,"Metaphase I","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_1",80.7136842105263,119.495114006515,1.48048147195009,0.675455937103219,"Cdc20mn"
"15","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_20_substack_frame_1",436.79,293.77,1.49,0.67,2.41,6.14,3.25,0,"Pre","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_20",117.101876675603,121.896265560166,1.04094203287488,0.960668287395595,"Cdc20mn"
"16","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_20_substack_frame_2",378.48,244.9,1.55,0.65,2.46,6.96,3.52,0,"Metaphase I","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_20",84.1066666666667,99.5528455284553,1.18364987549685,0.844844426296448,"Cdc20mn"
"17","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_21_substack_frame_1",365.59,188.48,1.94,0.52,2.41,6.33,3.25,0,"Pre","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_21",93.2627551020408,78.207468879668,0.838571290265868,1.19250445562351,"Cdc20mn"
"18","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_21_substack_frame_2",311.79,218.62,1.43,0.7,2.26,6.62,3.35,0,"Metaphase I","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_21",71.5114678899083,96.7345132743363,1.35271329380707,0.739254951199308,"Cdc20mn"
"19","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_22_substack_frame_1",419.25,190.04,2.21,0.45,1.9,5.54,2.72,0,"Pre","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_22",115.178571428571,100.021052631579,0.868399836801306,1.15154328412064,"Cdc20mn"
"20","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_22_substack_frame_2",342.46,241.76,1.42,0.71,2.54,6.9,3.59,0,"Metaphase I","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_22",78.545871559633,95.1811023622047,1.21179000846584,0.825225487100711,"Cdc20mn"
"21","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_24_substack_frame_1",385.9,222.94,1.73,0.58,2.29,6.11,3.11,0,"Pre","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_24",101.020942408377,97.353711790393,0.963698313136308,1.03766914019549,"Cdc20mn"
"22","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_24_substack_frame_2",314.77,247.21,1.27,0.79,2.81,6.91,3.72,0,"Metaphase I","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_24",76.7731707317073,87.9750889679715,1.14590928223364,0.872669429861646,"Cdc20mn"
"23","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_25_substack_frame_1",527.64,261.21,2.02,0.5,2.81,7.19,3.79,0,"Pre","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_25",120.465753424658,92.9572953736655,0.771649142856218,1.2959257575257,"Cdc20mn"
"24","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_25_substack_frame_2",314.86,279.71,1.13,0.89,2.27,6,3.09,0,"Metaphase I","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_25",84.4128686327078,123.220264317181,1.4597331699901,0.685056708005601,"Cdc20mn"
"25","210401_28213_measurements.csv","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_26_substack_frame_1",451.21,235.69,1.91,0.52,2.53,6.51,3.43,0,"Pre","210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_26",113.369346733668,93.1581027667984,0.821722144925551,1.21695637165845,"Cdc20mn"
