 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_01_R3D_D3D_nucleus_1_substack_frame_1,669.76,237.81,2.82,0.36,2.84,7.32,3.87,
2,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_01_R3D_D3D_nucleus_3_substack_frame_1,762.6,138.48,5.51,0.18,2.49,7.04,3.56,
3,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_01_R3D_D3D_nucleus_4_substack_frame_1,535.69,165.03,3.25,0.31,2.67,6.77,3.6,
4,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_01_R3D_D3D_nucleus_5_substack_frame_1,712.9,239.34,2.98,0.34,3.42,8.23,4.52,
5,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_02_R3D_D3D_nucleus_11_substack_frame_1,593.74,201.03,2.95,0.34,3.1,7.67,4.12,
6,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_02_R3D_D3D_nucleus_3_substack_frame_1,651.82,284.49,2.29,0.44,3.04,7.61,4.09,
7,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_02_R3D_D3D_nucleus_4_substack_frame_1,650.98,231.41,2.81,0.36,3.42,8.17,4.47,
8,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_02_R3D_D3D_nucleus_6_substack_frame_1,589.04,205.44,2.87,0.35,3.15,7.53,4.12,
9,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_02_R3D_D3D_nucleus_7_substack_frame_1,544.62,216.08,2.52,0.4,3.32,8.27,4.45,
10,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_02_R3D_D3D_nucleus_8_substack_frame_1,661.32,243.41,2.72,0.37,3.33,8.02,4.41,
11,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_02_R3D_D3D_nucleus_9_substack_frame_1,501.26,259.58,1.93,0.52,5.67,11.82,7.12,
12,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_03_R3D_D3D_nucleus_12_substack_frame_1,783.2,250.37,3.13,0.32,3,7.66,4.07,
13,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_03_R3D_D3D_nucleus_2_substack_frame_1,630.67,214.04,2.95,0.34,3.43,7.9,4.45,
14,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_03_R3D_D3D_nucleus_4_substack_frame_1,580.83,232.59,2.5,0.4,3.19,7.95,4.27,
15,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_03_R3D_D3D_nucleus_6_substack_frame_1,673,253.15,2.66,0.38,2.97,7.71,4.06,
16,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_03_R3D_D3D_nucleus_7_substack_frame_1,680.62,240.53,2.83,0.35,3.24,8.49,4.52,
17,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_03_R3D_D3D_nucleus_8_substack_frame_1,728.8,209.92,3.47,0.29,3.04,7.88,4.17,
18,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_04_R3D_D3D_nucleus_1_substack_frame_1,717.59,300.89,2.38,0.42,3.43,8.18,4.49,
19,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_04_R3D_D3D_nucleus_3_substack_frame_1,716.22,194.06,3.69,0.27,3.37,8.03,4.42,
20,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_04_R3D_D3D_nucleus_4_substack_frame_1,849.57,207.24,4.1,0.24,3.15,7.62,4.17,
21,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_04_R3D_D3D_nucleus_5_substack_frame_1,655.75,212.64,3.08,0.32,3.4,8.25,4.5,
22,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_04_R3D_D3D_nucleus_6_substack_frame_1,632.3,187.06,3.38,0.3,2.67,7.15,3.65,
23,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_04_R3D_D3D_nucleus_8_substack_frame_1,590.48,163.95,3.6,0.28,3.42,7.99,4.45,
24,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_04_R3D_D3D_nucleus_9_substack_frame_1,659.33,176.49,3.74,0.27,3.22,7.92,4.28,
25,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_05_R3D_D3D_nucleus_1_substack_frame_1,719,235.95,3.05,0.33,3.15,7.72,4.19,
26,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_05_R3D_D3D_nucleus_2_substack_frame_1,670.02,195.33,3.43,0.29,2.81,7.26,3.85,
27,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_05_R3D_D3D_nucleus_3_substack_frame_1,847.48,289.21,2.93,0.34,4.35,9.57,5.57,
1,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_05_R3D_D3D_nucleus_5_substack_frame_1,562.61,164.98,3.41,0.29,3.08,7.65,4.14,
29,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_05_R3D_D3D_nucleus_6_substack_frame_1,639.46,153.39,4.17,0.24,2.53,6.63,3.47,
30,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_05_R3D_D3D_nucleus_7_substack_frame_1,540.48,159.05,3.4,0.29,2.79,6.89,3.71,
31,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_06_R3D_D3D_nucleus_2_substack_frame_1,582.49,160.95,3.62,0.28,3.07,7.45,4.1,
32,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_06_R3D_D3D_nucleus_3_substack_frame_1,586.94,190.52,3.08,0.32,2.6,7.05,3.63,
33,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_06_R3D_D3D_nucleus_4_substack_frame_1,700.88,211.39,3.32,0.3,3.77,8.62,4.87,
34,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_07_R3D_D3D_nucleus_1_substack_frame_1,768.85,257.97,2.98,0.34,3.81,8.57,4.92,
35,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_07_R3D_D3D_nucleus_4_substack_frame_1,676.55,317.42,2.13,0.47,3.87,8.81,4.97,
36,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_08_R3D_D3D_nucleus_1_substack_frame_1,759.8,212.94,3.57,0.28,3.25,8.37,4.42,
37,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_08_R3D_D3D_nucleus_2_substack_frame_1,725.25,224.65,3.23,0.31,3.7,8.73,4.84,
38,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_08_R3D_D3D_nucleus_3_substack_frame_1,697.66,253.71,2.75,0.36,3.53,8.1,4.62,
39,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_08_R3D_D3D_nucleus_4_substack_frame_1,652.35,196.27,3.32,0.3,3.14,7.8,4.2,
40,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_08_R3D_D3D_nucleus_5_substack_frame_1,752.11,240.12,3.13,0.32,3.37,8.56,4.62,
41,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_08_R3D_D3D_nucleus_6_substack_frame_1,653.97,224.63,2.91,0.34,3.44,8.1,4.48,
42,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_09_R3D_D3D_nucleus_1_substack_frame_1,623.55,169.42,3.68,0.27,3.3,7.78,4.34,
43,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_09_R3D_D3D_nucleus_3_substack_frame_1,760.29,286.37,2.65,0.38,3.94,8.76,5.04,
44,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_09_R3D_D3D_nucleus_4_substack_frame_1,591.84,210.06,2.82,0.35,3.26,8.11,4.41,
45,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_09_R3D_D3D_nucleus_5_substack_frame_1,672.51,244.76,2.75,0.36,3.01,7.83,4.1,
46,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_09_R3D_D3D_nucleus_6_substack_frame_1,788.65,288.67,2.73,0.37,4.42,9.68,5.61,
47,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_09_R3D_D3D_nucleus_7_substack_frame_1,545.8,256,2.13,0.47,3.28,8.03,4.35,
48,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_10_R3D_D3D_nucleus_1_substack_frame_1,650.15,233.22,2.79,0.36,3.25,8.18,4.48,
49,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_10_R3D_D3D_nucleus_3_substack_frame_1,712.2,170.02,4.19,0.24,3.39,7.78,4.37,
50,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_10_R3D_D3D_nucleus_4_substack_frame_1,534.93,180.16,2.97,0.34,3.47,7.95,4.47,
51,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_10_R3D_D3D_nucleus_5_substack_frame_1,548.29,205.65,2.67,0.38,3.25,7.73,4.26,
52,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_10_R3D_D3D_nucleus_6_substack_frame_1,541.1,165.56,3.27,0.31,2.77,6.79,3.64,
53,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_10_R3D_D3D_nucleus_7_substack_frame_1,582.1,195.7,2.97,0.34,2.6,6.61,3.46,
