 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_21_R3D_D3D_nucleus_1_substack_frame_1,453.39,151.76,2.99,0.33,3.18,7.66,4.16,
2,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_22_R3D_D3D_nucleus_1_substack_frame_1,542.43,202.54,2.68,0.37,3.03,7.5,4.01,
3,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_22_R3D_D3D_nucleus_2_substack_frame_1,468.77,215.88,2.17,0.46,3.65,8.22,4.68,
4,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_22_R3D_D3D_nucleus_3_substack_frame_1,490.8,233.01,2.11,0.47,3.59,8.43,4.68,
5,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_22_R3D_D3D_nucleus_4_substack_frame_1,431.8,134.3,3.22,0.31,2.87,7.22,3.85,
6,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_23_R3D_D3D_nucleus_2_substack_frame_1,310.32,95.74,3.24,0.31,2.04,5.96,2.88,
7,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_23_R3D_D3D_nucleus_4_substack_frame_1,418.24,143.07,2.92,0.34,2.76,6.96,3.7,
8,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_24_R3D_D3D_nucleus_1_substack_frame_1,510.96,208.86,2.45,0.41,4.52,9.65,5.72,
9,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_24_R3D_D3D_nucleus_2_substack_frame_1,548.84,176.03,3.12,0.32,3.56,8.41,4.66,
10,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_24_R3D_D3D_nucleus_3_substack_frame_1,594.73,165.69,3.59,0.28,3.22,7.69,4.26,
11,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_24_R3D_D3D_nucleus_4_substack_frame_1,576.37,187.54,3.07,0.33,2.49,6.6,3.38,
12,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_25_R3D_D3D_nucleus_1_substack_frame_1,531.28,172.29,3.08,0.32,3.17,7.53,4.16,
13,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_25_R3D_D3D_nucleus_2_substack_frame_1,427.32,176.93,2.42,0.41,3.16,7.54,4.16,
14,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_25_R3D_D3D_nucleus_3_substack_frame_1,439.6,190.55,2.31,0.43,3.1,7.48,4.1,
15,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_25_R3D_D3D_nucleus_5_substack_frame_1,483.47,217.55,2.22,0.45,3.5,8.35,4.65,
16,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_25_R3D_D3D_nucleus_7_substack_frame_1,608.04,200.52,3.03,0.33,3.09,7.66,4.09,
17,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_25_R3D_D3D_nucleus_8_substack_frame_1,733.71,199.55,3.68,0.27,3.04,9.5,5.23,
18,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_26_R3D_D3D_nucleus_1_substack_frame_1,519.11,151.56,3.43,0.29,2.59,6.93,3.6,
19,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_26_R3D_D3D_nucleus_2_substack_frame_1,418.24,139.53,3,0.33,2.46,6.66,3.38,
20,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_26_R3D_D3D_nucleus_3_substack_frame_1,435.57,217.08,2.01,0.5,3.18,7.66,4.17,
21,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_26_R3D_D3D_nucleus_4_substack_frame_1,499.9,196,2.55,0.39,3.15,7.9,4.22,
22,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_27_R3D_D3D_nucleus_2_substack_frame_1,422.57,155.67,2.71,0.37,2.96,7.34,3.93,
23,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_27_R3D_D3D_nucleus_4_substack_frame_1,455.61,184.94,2.46,0.41,3.56,8.31,4.61,
24,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_27_R3D_D3D_nucleus_5_substack_frame_1,500.87,193.17,2.59,0.39,3.39,8.64,4.62,
25,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_28_R3D_D3D_nucleus_1_substack_frame_1,449.73,109.38,4.11,0.24,2.13,5.86,2.93,
26,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_28_R3D_D3D_nucleus_2_substack_frame_1,561.35,254.31,2.21,0.45,3.92,8.77,5.06,
27,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_28_R3D_D3D_nucleus_3_substack_frame_1,500.22,181.47,2.76,0.36,3.35,8.16,4.49,
28,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_29_R3D_D3D_nucleus_1_substack_frame_1,580.13,203.96,2.84,0.35,3.03,7.23,4.02,
29,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_29_R3D_D3D_nucleus_2_substack_frame_1,430.35,119.15,3.61,0.28,2.53,6.82,3.5,
30,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_30_R3D_D3D_nucleus_1_substack_frame_1,548.42,168.46,3.26,0.31,3.08,7.65,4.13,
31,210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_30_R3D_D3D_nucleus_3_substack_frame_1,330.1,127.92,2.58,0.39,2.34,6.26,3.22,
