,Image,NE1_int,NE2_int,Nuc_int,Nuc_Ratio
0,220607_VariousMitosisMovies_01_21_R3D_D3D_nucleus_1_substack_2_frame_1_middleslice_ROI_1_raw_profile.csv,211.075,184.611,58.0,0.29316174946801254
1,220607_VariousMitosisMovies_01_21_R3D_D3D_nucleus_1_substack_2_frame_2_middleslice_ROI_1_raw_profile.csv,151.359,277.857,54.0,0.2516215611719973
2,220607_VariousMitosisMovies_01_21_R3D_D3D_nucleus_1_substack_2_frame_3_middleslice_ROI_1_raw_profile.csv,151.478,176.511,60.0,0.3658659284305266
3,220607_VariousMitosisMovies_01_21_R3D_D3D_nucleus_1_substack_frame_1_middleslice_ROI_1_raw_profile.csv,170.111,207.324,90.0,0.47690330785433255
4,220607_VariousMitosisMovies_01_21_R3D_D3D_nucleus_1_substack_frame_2_middleslice_ROI_1_raw_profile.csv,148.677,214.019,63.095857142857135,0.34792695338717344
5,220607_VariousMitosisMovies_01_21_R3D_D3D_nucleus_1_substack_frame_3_middleslice_ROI_1_raw_profile.csv,305.902,90.443,51.056749999999994,0.2576379164616685
6,220607_VariousMitosisMovies_01_22_R3D_D3D_nucleus_2_substack_2_frame_1_middleslice_ROI_1_raw_profile.csv,142.075,150.439,42.0,0.2871657424943763
7,220607_VariousMitosisMovies_01_22_R3D_D3D_nucleus_2_substack_2_frame_2_middleslice_ROI_1_raw_profile.csv,138.343,179.368,43.0,0.2706862526006339
8,220607_VariousMitosisMovies_01_22_R3D_D3D_nucleus_2_substack_2_frame_3_middleslice_ROI_1_raw_profile.csv,161.272,117.156,48.0,0.3447929087591765
9,220607_VariousMitosisMovies_01_22_R3D_D3D_nucleus_2_substack_frame_1_middleslice_ROI_1_raw_profile.csv,301.188,193.646,72.0,0.2910066810283853
10,220607_VariousMitosisMovies_01_22_R3D_D3D_nucleus_2_substack_frame_2_middleslice_ROI_1_raw_profile.csv,176.152,160.895,28.0,0.16614893471830336
11,220607_VariousMitosisMovies_01_22_R3D_D3D_nucleus_2_substack_frame_3_middleslice_ROI_1_raw_profile.csv,120.71199999999999,283.992,29.0,0.1433146200680003
12,220607_VariousMitosisMovies_01_23_R3D_D3D_nucleus_1_substack_frame_1_middleslice_ROI_1_raw_profile.csv,199.159,209.797,58.0,0.28364909672434196
13,220607_VariousMitosisMovies_01_23_R3D_D3D_nucleus_1_substack_frame_2_middleslice_ROI_1_raw_profile.csv,192.684,290.819,32.0,0.13236732760706757
14,220607_VariousMitosisMovies_01_23_R3D_D3D_nucleus_1_substack_frame_3_middleslice_ROI_1_raw_profile.csv,188.772,153.786,42.0,0.2452139491706514
15,220607_VariousMitosisMovies_01_23_R3D_D3D_nucleus_2_substack_frame_1_middleslice_ROI_1_raw_profile.csv,211.963,194.669,54.0,0.26559641149737356
16,220607_VariousMitosisMovies_01_23_R3D_D3D_nucleus_2_substack_frame_2_middleslice_ROI_1_raw_profile.csv,167.857,133.504,51.0,0.33846449938777745
17,220607_VariousMitosisMovies_01_23_R3D_D3D_nucleus_2_substack_frame_3_middleslice_ROI_1_raw_profile.csv,140.816,189.443,43.0,0.2604016847383417
18,220607_VariousMitosisMovies_01_23_R3D_D3D_nucleus_3_substack_frame_1_middleslice_ROI_1_raw_profile.csv,227.423,296.431,62.0,0.23670717413630513
19,220607_VariousMitosisMovies_01_23_R3D_D3D_nucleus_3_substack_frame_2_middleslice_ROI_1_raw_profile.csv,188.147,204.523,46.0,0.2342934270507042
20,220607_VariousMitosisMovies_01_23_R3D_D3D_nucleus_3_substack_frame_3_middleslice_ROI_1_raw_profile.csv,258.002,148.037,50.0,0.24628176111161737
21,220607_VariousMitosisMovies_01_26_R3D_D3D_nucleus_2_substack_frame_1_middleslice_ROI_1_raw_profile.csv,308.818,140.196,70.0,0.31179428703782064
22,220607_VariousMitosisMovies_01_26_R3D_D3D_nucleus_2_substack_frame_2_middleslice_ROI_1_raw_profile.csv,164.486,161.333,36.0,0.22098158793686068
23,220607_VariousMitosisMovies_01_26_R3D_D3D_nucleus_2_substack_frame_3_middleslice_ROI_1_raw_profile.csv,223.293,99.307,20.0,0.1239925604463732
24,220607_VariousMitosisMovies_01_28_R3D_D3D_nucleus_1_substack_2_frame_1_middleslice_ROI_1_raw_profile.csv,240.405,199.137,65.0,0.2957624072329834
25,220607_VariousMitosisMovies_01_28_R3D_D3D_nucleus_1_substack_2_frame_2_middleslice_ROI_1_raw_profile.csv,226.219,302.606,53.0,0.20044438141162008
26,220607_VariousMitosisMovies_01_28_R3D_D3D_nucleus_1_substack_2_frame_3_middleslice_ROI_1_raw_profile.csv,301.305,300.98,54.0,0.1793171007081365
27,220607_VariousMitosisMovies_01_28_R3D_D3D_nucleus_1_substack_frame_1_middleslice_ROI_1_raw_profile.csv,150.044,186.576,62.0,0.3683678925791694
28,220607_VariousMitosisMovies_01_28_R3D_D3D_nucleus_1_substack_frame_2_middleslice_ROI_1_raw_profile.csv,141.051,172.334,52.0,0.33186017199291606
29,220607_VariousMitosisMovies_01_28_R3D_D3D_nucleus_1_substack_frame_3_middleslice_ROI_1_raw_profile.csv,151.659,310.194,76.0,0.32910904551881226
30,220607_VariousMitosisMovies_01_28_R3D_D3D_nucleus_3_substack_frame_1_middleslice_ROI_1_raw_profile.csv,169.19,153.468,37.0,0.22934500306826422
31,220607_VariousMitosisMovies_01_28_R3D_D3D_nucleus_3_substack_frame_2_middleslice_ROI_1_raw_profile.csv,148.319,138.45,40.0,0.2789701815747169
32,220607_VariousMitosisMovies_01_28_R3D_D3D_nucleus_3_substack_frame_3_middleslice_ROI_1_raw_profile.csv,200.717,263.668,38.0,0.16365731020597135
33,220607_VariousMitosisMovies_01_29_R3D_D3D_nucleus_1_substack_2_frame_1_middleslice_ROI_1_raw_profile.csv,216.714,160.828,65.0,0.34433255108040955
34,220607_VariousMitosisMovies_01_29_R3D_D3D_nucleus_1_substack_2_frame_2_middleslice_ROI_1_raw_profile.csv,189.166,161.972,42.0,0.2392221861490354
35,220607_VariousMitosisMovies_01_29_R3D_D3D_nucleus_1_substack_2_frame_3_middleslice_ROI_1_raw_profile.csv,177.271,147.639,27.0,0.1661998707334339
36,220607_VariousMitosisMovies_01_29_R3D_D3D_nucleus_1_substack_frame_1_middleslice_ROI_1_raw_profile.csv,222.774,224.129,66.0,0.2953661085291439
37,220607_VariousMitosisMovies_01_29_R3D_D3D_nucleus_1_substack_frame_2_middleslice_ROI_1_raw_profile.csv,212.964,152.276,38.0,0.2080823568064834
38,220607_VariousMitosisMovies_01_29_R3D_D3D_nucleus_1_substack_frame_3_middleslice_ROI_1_raw_profile.csv,241.02,163.768,53.0,0.2618654703202664
39,220607_VariousMitosisMovies_01_29_R3D_D3D_nucleus_3_substack_2_frame_1_middleslice_ROI_1_raw_profile.csv,125.68100000000001,174.203,31.0,0.20674660868869296
40,220607_VariousMitosisMovies_01_29_R3D_D3D_nucleus_3_substack_2_frame_2_middleslice_ROI_1_raw_profile.csv,204.958,209.037,25.0,0.12077440548798898
41,220607_VariousMitosisMovies_01_29_R3D_D3D_nucleus_3_substack_2_frame_3_middleslice_ROI_1_raw_profile.csv,164.691,98.65,47.058181818181815,0.3573935074157219
42,220607_VariousMitosisMovies_01_29_R3D_D3D_nucleus_5_substack_2_frame_1_middleslice_ROI_1_raw_profile.csv,191.916,296.542,53.0,0.21700944605268008
43,220607_VariousMitosisMovies_01_29_R3D_D3D_nucleus_5_substack_2_frame_2_middleslice_ROI_1_raw_profile.csv,240.568,152.63,67.0,0.3407952227630863
44,220607_VariousMitosisMovies_01_29_R3D_D3D_nucleus_5_substack_2_frame_3_middleslice_ROI_1_raw_profile.csv,225.315,189.027,34.0,0.16411563394490541
45,220607_VariousMitosisMovies_01_30_R3D_D3D_nucleus_1_substack_frame_1_middleslice_ROI_1_raw_profile.csv,266.462,188.981,42.0,0.18443581304356418
46,220607_VariousMitosisMovies_01_30_R3D_D3D_nucleus_1_substack_frame_2_middleslice_ROI_1_raw_profile.csv,132.054,200.659,72.0,0.4328054509442072
47,220607_VariousMitosisMovies_01_30_R3D_D3D_nucleus_1_substack_frame_3_middleslice_ROI_1_raw_profile.csv,106.846,128.231,25.0,0.21269626547897072
