,Image,NE1_int,NE2_int,Nuc_int,Nuc_Ratio
0,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_1_substack_frame_1_middleslice_ROI_1_raw_profile.csv,273.109,264.539,51.0,0.18971520399964292
1,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_1_substack_frame_2_middleslice_ROI_1_raw_profile.csv,168.087,205.867,62.0,0.33159158613091455
2,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_1_substack_frame_3_middleslice_ROI_1_raw_profile.csv,296.053,191.667,57.0,0.23374067087673253
3,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_2_substack_frame_1_middleslice_ROI_1_raw_profile.csv,161.333,173.299,54.0,0.3227425948504626
4,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_2_substack_frame_2_middleslice_ROI_1_raw_profile.csv,122.932,113.729,89.221125,0.7539993915347268
5,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_2_substack_frame_3_middleslice_ROI_1_raw_profile.csv,154.823,162.938,70.0,0.440582702093712
6,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_3_substack_frame_1_middleslice_ROI_1_raw_profile.csv,229.061,207.194,38.0,0.17421003770730423
7,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_3_substack_frame_2_middleslice_ROI_1_raw_profile.csv,226.788,201.881,81.0,0.37791396158807844
8,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_3_substack_frame_3_middleslice_ROI_1_raw_profile.csv,254.94400000000002,205.556,51.0,0.22149837133550487
9,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_4_substack_frame_1_middleslice_ROI_1_raw_profile.csv,282.04,281.544,59.0,0.20937429025664317
10,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_4_substack_frame_2_middleslice_ROI_1_raw_profile.csv,196.627,212.971,81.0,0.3955097436999204
11,210210_Nup1GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_4_substack_frame_3_middleslice_ROI_1_raw_profile.csv,237.455,206.758,54.0,0.24312660818121035
