,Image,NE1_int,NE2_int,Nuc_int,Nuc_Ratio
0,220608_VariousMitosisMovies2_01_21_R3D_D3D_nucleus_1_substack_frame_1_middleslice_ROI_1_raw_profile.csv,267.295,326.061,114.0,0.3842549835174836
1,220608_VariousMitosisMovies2_01_21_R3D_D3D_nucleus_1_substack_frame_2_middleslice_ROI_1_raw_profile.csv,236.954,323.742,107.0,0.381668497724257
2,220608_VariousMitosisMovies2_01_21_R3D_D3D_nucleus_1_substack_frame_3_middleslice_ROI_1_raw_profile.csv,274.208,427.282,66.0,0.18817089338408244
3,220608_VariousMitosisMovies2_01_21_R3D_D3D_nucleus_2_substack_frame_1_middleslice_ROI_1_raw_profile.csv,347.462,332.807,91.0,0.2675412226633876
4,220608_VariousMitosisMovies2_01_21_R3D_D3D_nucleus_2_substack_frame_2_middleslice_ROI_1_raw_profile.csv,170.039,186.537,85.0,0.47675670824733013
5,220608_VariousMitosisMovies2_01_21_R3D_D3D_nucleus_2_substack_frame_3_middleslice_ROI_1_raw_profile.csv,224.091,305.339,101.0,0.3815424135390892
6,220608_VariousMitosisMovies2_01_21_R3D_D3D_nucleus_3_substack_2_frame_1_middleslice_ROI_1_raw_profile.csv,331.943,321.642,77.0,0.23562352257166244
7,220608_VariousMitosisMovies2_01_21_R3D_D3D_nucleus_3_substack_2_frame_2_middleslice_ROI_1_raw_profile.csv,186.876,184.724,96.0,0.5166846071044133
8,220608_VariousMitosisMovies2_01_21_R3D_D3D_nucleus_3_substack_2_frame_3_middleslice_ROI_1_raw_profile.csv,199.694,413.471,87.0,0.28377353567147506
9,220608_VariousMitosisMovies2_01_21_R3D_D3D_nucleus_4_substack_frame_1_middleslice_ROI_1_raw_profile.csv,226.181,219.919,93.0,0.4169468728984532
10,220608_VariousMitosisMovies2_01_21_R3D_D3D_nucleus_4_substack_frame_2_middleslice_ROI_1_raw_profile.csv,200.139,106.645,58.956374999999994,0.3843510417753207
11,220608_VariousMitosisMovies2_01_21_R3D_D3D_nucleus_4_substack_frame_3_middleslice_ROI_1_raw_profile.csv,175.198,193.489,91.0,0.49364365979814856
12,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_1_substack_2_frame_1_middleslice_ROI_1_raw_profile.csv,308.423,210.661,54.0,0.20805881129065815
13,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_1_substack_2_frame_2_middleslice_ROI_1_raw_profile.csv,228.461,189.098,70.0,0.33528196015413386
14,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_1_substack_2_frame_3_middleslice_ROI_1_raw_profile.csv,246.262,238.853,56.0,0.23087309194727024
15,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_1_substack_frame_1_middleslice_ROI_1_raw_profile.csv,240.721,246.483,80.0,0.32840452869845077
16,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_1_substack_frame_2_middleslice_ROI_1_raw_profile.csv,124.24600000000001,233.433,82.161,0.45941193080946885
17,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_1_substack_frame_3_middleslice_ROI_1_raw_profile.csv,187.829,281.458,65.0,0.2770159838222665
18,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_2_substack_frame_1_middleslice_ROI_1_raw_profile.csv,216.085,265.395,82.0,0.34061643266594666
19,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_2_substack_frame_2_middleslice_ROI_1_raw_profile.csv,140.674,139.265,64.0,0.45724247068111273
20,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_2_substack_frame_3_middleslice_ROI_1_raw_profile.csv,240.994,212.783,56.0,0.24681726927543707
21,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_4_substack_frame_1_middleslice_ROI_1_raw_profile.csv,300.746,244.567,86.0,0.31541518357347065
22,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_4_substack_frame_2_middleslice_ROI_1_raw_profile.csv,251.267,186.384,95.0,0.43413587538929427
23,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_4_substack_frame_3_middleslice_ROI_1_raw_profile.csv,244.682,184.718,93.0,0.4331625523986959
24,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_5_substack_2_frame_1_middleslice_ROI_1_raw_profile.csv,211.288,232.948,58.0,0.26112246643675885
25,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_5_substack_2_frame_2_middleslice_ROI_1_raw_profile.csv,238.894,192.667,51.0,0.23635129216958897
26,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_5_substack_2_frame_3_middleslice_ROI_1_raw_profile.csv,163.034,180.111,62.0,0.3613632720861444
27,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_5_substack_frame_1_middleslice_ROI_1_raw_profile.csv,242.468,182.313,57.0,0.26837358544756007
28,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_5_substack_frame_2_middleslice_ROI_1_raw_profile.csv,189.825,141.294,45.0,0.2718056046315675
29,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_5_substack_frame_3_middleslice_ROI_1_raw_profile.csv,140.916,155.319,41.0,0.276807264502844
30,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_6_substack_2_frame_1_middleslice_ROI_1_raw_profile.csv,206.266,247.759,74.0,0.32597323935906614
31,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_6_substack_2_frame_2_middleslice_ROI_1_raw_profile.csv,280.827,246.966,71.0,0.2690448717584356
32,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_6_substack_2_frame_3_middleslice_ROI_1_raw_profile.csv,235.323,218.484,72.0,0.31731551077881126
33,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_6_substack_frame_1_middleslice_ROI_1_raw_profile.csv,229.191,220.427,68.0,0.30247899327873884
34,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_6_substack_frame_2_middleslice_ROI_1_raw_profile.csv,201.165,162.266,34.0,0.1871056679259612
35,220608_VariousMitosisMovies2_01_22_R3D_D3D_nucleus_6_substack_frame_3_middleslice_ROI_1_raw_profile.csv,210.913,238.111,53.0,0.2360675598631699
36,220608_VariousMitosisMovies2_01_23_R3D_D3D_nucleus_1_substack_frame_1_middleslice_ROI_1_raw_profile.csv,264.868,272.386,68.0,0.2531391111094566
37,220608_VariousMitosisMovies2_01_23_R3D_D3D_nucleus_1_substack_frame_2_middleslice_ROI_1_raw_profile.csv,189.824,199.072,90.0,0.46284867933843493
38,220608_VariousMitosisMovies2_01_23_R3D_D3D_nucleus_1_substack_frame_3_middleslice_ROI_1_raw_profile.csv,257.745,271.122,62.0,0.23446348514843998
39,220608_VariousMitosisMovies2_01_23_R3D_D3D_nucleus_2_substack_frame_1_middleslice_ROI_1_raw_profile.csv,280.029,289.319,76.0,0.26697204521663376
40,220608_VariousMitosisMovies2_01_23_R3D_D3D_nucleus_2_substack_frame_2_middleslice_ROI_1_raw_profile.csv,131.332,152.783,67.0,0.4716400049275821
41,220608_VariousMitosisMovies2_01_23_R3D_D3D_nucleus_2_substack_frame_3_middleslice_ROI_1_raw_profile.csv,176.586,133.898,31.0,0.19968822870099584
42,220608_VariousMitosisMovies2_01_23_R3D_D3D_nucleus_3_substack_frame_1_middleslice_ROI_1_raw_profile.csv,258.254,260.377,91.0,0.350923874585206
43,220608_VariousMitosisMovies2_01_23_R3D_D3D_nucleus_3_substack_frame_2_middleslice_ROI_1_raw_profile.csv,243.892,311.258,78.0,0.2810051337476358
44,220608_VariousMitosisMovies2_01_23_R3D_D3D_nucleus_3_substack_frame_3_middleslice_ROI_1_raw_profile.csv,409.32,242.838,55.0,0.16867078223375317
45,220608_VariousMitosisMovies2_01_23_R3D_D3D_nucleus_4_substack_2_frame_1_middleslice_ROI_1_raw_profile.csv,257.841,256.605,82.0,0.3187895328178273
46,220608_VariousMitosisMovies2_01_23_R3D_D3D_nucleus_4_substack_2_frame_2_middleslice_ROI_1_raw_profile.csv,230.164,281.524,44.0,0.17197980019074124
47,220608_VariousMitosisMovies2_01_23_R3D_D3D_nucleus_4_substack_2_frame_3_middleslice_ROI_1_raw_profile.csv,255.86399999999998,244.411,72.0,0.28784168707211033
48,220608_VariousMitosisMovies2_01_23_R3D_D3D_nucleus_4_substack_frame_1_middleslice_ROI_1_raw_profile.csv,272.687,241.053,64.0,0.24915326819013509
49,220608_VariousMitosisMovies2_01_23_R3D_D3D_nucleus_4_substack_frame_2_middleslice_ROI_1_raw_profile.csv,231.913,250.145,58.0,0.24063494434279692
50,220608_VariousMitosisMovies2_01_23_R3D_D3D_nucleus_4_substack_frame_3_middleslice_ROI_1_raw_profile.csv,207.216,167.624,57.0,0.3041297620318002
51,220608_VariousMitosisMovies2_01_23_R3D_D3D_nucleus_6_substack_frame_1_middleslice_ROI_1_raw_profile.csv,235.957,223.869,75.0,0.326210349132063
52,220608_VariousMitosisMovies2_01_23_R3D_D3D_nucleus_6_substack_frame_2_middleslice_ROI_1_raw_profile.csv,180.499,183.285,74.0,0.40683482506102525
53,220608_VariousMitosisMovies2_01_23_R3D_D3D_nucleus_6_substack_frame_3_middleslice_ROI_1_raw_profile.csv,269.45,295.487,91.0,0.32215981605028526
54,220608_VariousMitosisMovies2_01_24_R3D_D3D_nucleus_1_substack_frame_1_middleslice_ROI_1_raw_profile.csv,263.688,307.46,108.0,0.3781856891733842
55,220608_VariousMitosisMovies2_01_24_R3D_D3D_nucleus_1_substack_frame_2_middleslice_ROI_1_raw_profile.csv,228.105,235.287,79.0,0.3409640218216974
56,220608_VariousMitosisMovies2_01_24_R3D_D3D_nucleus_1_substack_frame_3_middleslice_ROI_1_raw_profile.csv,208.275,278.614,74.0,0.3039707202257599
57,220608_VariousMitosisMovies2_01_24_R3D_D3D_nucleus_2_substack_frame_1_middleslice_ROI_1_raw_profile.csv,318.002,252.238,113.0,0.396324354657688
58,220608_VariousMitosisMovies2_01_24_R3D_D3D_nucleus_2_substack_frame_2_middleslice_ROI_1_raw_profile.csv,205.855,210.453,67.0,0.32187707178339114
59,220608_VariousMitosisMovies2_01_24_R3D_D3D_nucleus_2_substack_frame_3_middleslice_ROI_1_raw_profile.csv,223.075,217.245,87.0,0.3951671511627907
60,220608_VariousMitosisMovies2_01_24_R3D_D3D_nucleus_3_substack_frame_1_middleslice_ROI_1_raw_profile.csv,227.265,341.584,87.0,0.30588082250298415
61,220608_VariousMitosisMovies2_01_24_R3D_D3D_nucleus_3_substack_frame_2_middleslice_ROI_1_raw_profile.csv,224.318,176.726,88.0,0.4388545895213493
62,220608_VariousMitosisMovies2_01_24_R3D_D3D_nucleus_3_substack_frame_3_middleslice_ROI_1_raw_profile.csv,233.948,231.907,77.0,0.33057496431293
63,220608_VariousMitosisMovies2_01_24_R3D_D3D_nucleus_4_substack_3_frame_1_middleslice_ROI_1_raw_profile.csv,293.794,348.895,72.0,0.22405860377258674
64,220608_VariousMitosisMovies2_01_24_R3D_D3D_nucleus_4_substack_3_frame_2_middleslice_ROI_1_raw_profile.csv,267.632,225.986,82.0,0.332240720557192
65,220608_VariousMitosisMovies2_01_24_R3D_D3D_nucleus_4_substack_3_frame_3_middleslice_ROI_1_raw_profile.csv,261.344,258.033,72.0,0.2772552500399517
66,220608_VariousMitosisMovies2_01_24_R3D_D3D_nucleus_6_substack_frame_1_middleslice_ROI_1_raw_profile.csv,303.84,275.244,63.0,0.21758501357316035
67,220608_VariousMitosisMovies2_01_24_R3D_D3D_nucleus_6_substack_frame_2_middleslice_ROI_1_raw_profile.csv,253.73899999999998,187.324,89.0,0.40357046499026217
68,220608_VariousMitosisMovies2_01_24_R3D_D3D_nucleus_6_substack_frame_3_middleslice_ROI_1_raw_profile.csv,187.496,259.654,74.0,0.33098512803309854
69,220608_VariousMitosisMovies2_01_24_R3D_D3D_nucleus_7_substack_frame_1_middleslice_ROI_1_raw_profile.csv,199.536,330.811,77.0,0.2903759236876988
70,220608_VariousMitosisMovies2_01_24_R3D_D3D_nucleus_7_substack_frame_2_middleslice_ROI_1_raw_profile.csv,312.242,291.398,95.0,0.31475714001722876
71,220608_VariousMitosisMovies2_01_24_R3D_D3D_nucleus_7_substack_frame_3_middleslice_ROI_1_raw_profile.csv,210.021,245.155,64.0,0.28120990561892545
72,220608_VariousMitosisMovies2_01_24_R3D_D3D_nucleus_8_substack_frame_1_middleslice_ROI_1_raw_profile.csv,208.313,305.772,54.0,0.21008199033233801
