,Image,NE1_int,NE2_int,Nuc_int,Nuc_Ratio
0,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_1_substack_frame_1_middleslice_ROI_1_raw_profile.csv,274.148,233.337,49.0,0.1931091559356434
1,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_1_substack_frame_2_middleslice_ROI_1_raw_profile.csv,261.296,232.887,65.0,0.2630604452196858
2,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_1_substack_frame_3_middleslice_ROI_1_raw_profile.csv,193.948,174.674,60.0,0.3255367286814135
3,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_2_substack_frame_1_middleslice_ROI_1_raw_profile.csv,277.883,242.099,64.0,0.2461623671588632
4,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_2_substack_frame_2_middleslice_ROI_1_raw_profile.csv,354.535,314.669,31.0,0.0926473840562818
5,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_2_substack_frame_3_middleslice_ROI_1_raw_profile.csv,248.406,279.271,49.0,0.1857196732091791
6,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_3_substack_frame_1_middleslice_ROI_1_raw_profile.csv,220.872,325.482,76.0,0.2782079018365382
7,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_3_substack_frame_2_middleslice_ROI_1_raw_profile.csv,232.673,178.214,71.0,0.34559380072866747
8,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_3_substack_frame_3_middleslice_ROI_1_raw_profile.csv,217.851,265.676,62.0,0.2564489676894982
9,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_4_substack_frame_1_middleslice_ROI_1_raw_profile.csv,264.587,207.078,73.0,0.30954172982943406
10,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_4_substack_frame_2_middleslice_ROI_1_raw_profile.csv,278.302,295.404,76.0,0.26494406542723975
11,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_4_substack_frame_3_middleslice_ROI_1_raw_profile.csv,201.053,254.60500000000002,93.0,0.40820088750773603
12,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_5_substack_frame_1_middleslice_ROI_1_raw_profile.csv,415.329,339.255,65.0,0.17228035579869172
13,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_5_substack_frame_2_middleslice_ROI_1_raw_profile.csv,291.992,303.95,67.0,0.22485409653959612
14,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_5_substack_frame_3_middleslice_ROI_1_raw_profile.csv,319.089,242.518,51.0,0.181621667821092
15,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_6_substack_frame_1_middleslice_ROI_1_raw_profile.csv,258.286,263.393,48.0,0.18402120844427322
16,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_6_substack_frame_2_middleslice_ROI_1_raw_profile.csv,288.909,204.915,72.0,0.29160186625194406
17,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_6_substack_frame_3_middleslice_ROI_1_raw_profile.csv,227.504,182.246,84.0,0.4100061012812691
18,210821_VariousHighTimeResolutionMovies_01_12_R3D_D3D_nucleus_1_substack_frame_1_middleslice_ROI_1_raw_profile.csv,322.134,275.659,43.0,0.1438625075904201
19,210821_VariousHighTimeResolutionMovies_01_12_R3D_D3D_nucleus_1_substack_frame_2_middleslice_ROI_1_raw_profile.csv,170.4,184.73,53.0,0.2984822459381072
20,210821_VariousHighTimeResolutionMovies_01_12_R3D_D3D_nucleus_1_substack_frame_3_middleslice_ROI_1_raw_profile.csv,305.198,256.304,60.0,0.21371250681208617
21,210821_VariousHighTimeResolutionMovies_01_12_R3D_D3D_nucleus_2_substack_frame_1_middleslice_ROI_1_raw_profile.csv,305.957,284.857,29.0,0.09816964391500539
22,210821_VariousHighTimeResolutionMovies_01_12_R3D_D3D_nucleus_2_substack_frame_2_middleslice_ROI_1_raw_profile.csv,193.011,250.214,46.0,0.2075695188673924
23,210821_VariousHighTimeResolutionMovies_01_12_R3D_D3D_nucleus_2_substack_frame_3_middleslice_ROI_1_raw_profile.csv,313.958,246.564,39.0,0.13915600101334114
24,210821_VariousHighTimeResolutionMovies_01_12_R3D_D3D_nucleus_3_substack_frame_1_middleslice_ROI_1_raw_profile.csv,284.018,153.547,32.0,0.14626398363671686
25,210821_VariousHighTimeResolutionMovies_01_12_R3D_D3D_nucleus_3_substack_frame_2_middleslice_ROI_1_raw_profile.csv,137.795,252.187,53.0,0.2718074167525681
26,210821_VariousHighTimeResolutionMovies_01_12_R3D_D3D_nucleus_3_substack_frame_3_middleslice_ROI_1_raw_profile.csv,151.833,150.943,64.0,0.4227547758078579
27,210821_VariousHighTimeResolutionMovies_01_12_R3D_D3D_nucleus_4_substack_frame_1_middleslice_ROI_1_raw_profile.csv,258.533,278.243,52.0,0.19374934795892512
28,210821_VariousHighTimeResolutionMovies_01_12_R3D_D3D_nucleus_4_substack_frame_2_middleslice_ROI_1_raw_profile.csv,234.806,310.096,90.0,0.33033462897915583
29,210821_VariousHighTimeResolutionMovies_01_12_R3D_D3D_nucleus_4_substack_frame_3_middleslice_ROI_1_raw_profile.csv,218.236,198.818,106.0,0.5083274587943049
30,210821_VariousHighTimeResolutionMovies_01_12_R3D_D3D_nucleus_5_substack_frame_1_middleslice_ROI_1_raw_profile.csv,210.812,330.459,70.0,0.25865047268373886
31,210821_VariousHighTimeResolutionMovies_01_12_R3D_D3D_nucleus_5_substack_frame_2_middleslice_ROI_1_raw_profile.csv,183.331,212.27,57.0,0.2881691401184527
32,210821_VariousHighTimeResolutionMovies_01_12_R3D_D3D_nucleus_5_substack_frame_3_middleslice_ROI_1_raw_profile.csv,226.501,241.668,52.0,0.2221420042762336
