 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_31_R3D_D3D_nucleus_10_substack_frame_1,369.22,167.56,2.2,0.45,1.29,4.37,1.92,
2,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_31_R3D_D3D_nucleus_10_substack_frame_2,390.34,184.43,2.12,0.47,1.35,4.43,1.99,
3,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_31_R3D_D3D_nucleus_11_substack_frame_1,491.9,362.82,1.36,0.74,2.7,6.9,3.61,
4,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_31_R3D_D3D_nucleus_11_substack_frame_2,464.62,323.06,1.44,0.7,3.24,7.53,4.2,
5,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_31_R3D_D3D_nucleus_12_substack_frame_1,654.42,344.64,1.9,0.53,3.16,8.81,4.45,
6,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_31_R3D_D3D_nucleus_12_substack_frame_2,549.06,350.41,1.57,0.64,3.59,8.25,4.63,
7,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_31_R3D_D3D_nucleus_1_substack_frame_1,638.84,564.01,1.13,0.88,4.61,9.83,5.78,
8,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_31_R3D_D3D_nucleus_1_substack_frame_2,619.03,369.67,1.67,0.6,3.7,9.06,4.98,
9,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_31_R3D_D3D_nucleus_2_substack_frame_1,513.42,323.05,1.59,0.63,3.09,7.75,4.12,
10,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_31_R3D_D3D_nucleus_2_substack_frame_2,471.98,277.33,1.7,0.59,3.58,8.34,4.63,
