 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_10_substack_frame_1,458.18,230.5,1.99,0.5,1.76,5.21,2.49,
2,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_10_substack_frame_2,459.86,254.64,1.81,0.55,2.15,5.78,2.94,
3,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_11_substack_frame_1,421.44,170.89,2.47,0.41,1.99,6,2.98,
4,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_11_substack_frame_2,506.8,259.78,1.95,0.51,2.81,7.18,3.8,
5,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_12_substack_frame_1,604.27,410.76,1.47,0.68,3.12,7.79,4.19,
6,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_12_substack_frame_2,607.79,407.06,1.49,0.67,3.38,8.23,4.45,
7,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_13_substack_frame_1,473.7,214.09,2.21,0.45,1.54,4.71,2.22,
8,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_13_substack_frame_2,481.88,254.26,1.9,0.53,2.02,5.65,2.79,
9,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_14_substack_frame_1,493.24,273.27,1.8,0.55,3.54,8.46,4.68,
10,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_14_substack_frame_2,518.41,275.63,1.88,0.53,2.96,7.88,4.13,
11,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_15_substack_frame_1,464,286.51,1.62,0.62,2.94,7.14,3.85,
12,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_15_substack_frame_2,470.27,315.1,1.49,0.67,3.29,7.67,4.28,
13,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_16_substack_frame_1,696.1,329.85,2.11,0.47,3.09,7.44,4.06,
14,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_16_substack_frame_2,614.99,338.32,1.82,0.55,3.4,8.11,4.63,
15,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_1_substack_frame_1,649.82,479.15,1.36,0.74,4.75,9.97,5.92,
16,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_1_substack_frame_2,531.92,249.96,2.13,0.47,3.32,8.86,4.98,
17,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_2_substack_frame_1,577.31,322.7,1.79,0.56,3.25,7.9,4.34,
18,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_2_substack_frame_2,601.62,421.99,1.43,0.7,4.42,9.55,5.62,
19,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_3_substack_frame_1,471.92,324.62,1.45,0.69,2.94,7.14,3.85,
20,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_3_substack_frame_2,422.8,300.16,1.41,0.71,3.65,8.46,4.75,
21,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_4_substack_frame_1,413.05,189.23,2.18,0.46,1.73,5.18,2.46,
22,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_4_substack_frame_2,372.17,185.97,2,0.5,1.8,5.34,2.54,
23,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_5_substack_frame_1,0,0,0,0,0,0,0,
24,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_5_substack_frame_2,0,0,0,0,0,0,0,
25,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_6_substack_frame_1,563.66,291.52,1.93,0.52,3.04,7.61,4.1,
26,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_6_substack_frame_2,473.7,307.57,1.54,0.65,3.46,8.13,4.52,
27,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_7_substack_frame_1,499.55,191.56,2.61,0.38,1.45,4.62,2.13,
28,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_7_substack_frame_2,511.53,276.27,1.85,0.54,1.63,5.08,2.38,
29,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_8_substack_frame_1,634.05,399.35,1.59,0.63,4.26,9.63,5.49,
30,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_8_substack_frame_2,577.72,400.4,1.44,0.69,4.45,9.73,5.68,
31,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_9_substack_frame_1,530.86,324.44,1.64,0.61,2.97,7.36,3.93,
32,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_21_R3D_D3D_nucleus_9_substack_frame_2,474.58,284.88,1.67,0.6,2.81,7.07,3.75,
33,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_22_R3D_D3D_nucleus_10_substack_frame_1,544.65,327.49,1.66,0.6,3.8,9.22,5.08,
34,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_22_R3D_D3D_nucleus_10_substack_frame_2,458.96,238.44,1.92,0.52,2.96,7.4,3.94,
35,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_22_R3D_D3D_nucleus_11_substack_frame_1,533.52,279.12,1.91,0.52,2.97,7.54,4.01,
36,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_22_R3D_D3D_nucleus_11_substack_frame_2,444.22,212.22,2.09,0.48,2.42,6.72,3.37,
37,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_22_R3D_D3D_nucleus_12_substack_frame_1,536.19,297.87,1.8,0.56,3.14,7.87,4.23,
38,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_22_R3D_D3D_nucleus_12_substack_frame_2,456.67,264.64,1.73,0.58,2.97,7.54,4.03,
39,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_22_R3D_D3D_nucleus_13_substack_frame_1,472.45,268.85,1.76,0.57,2.11,5.75,2.89,
40,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_22_R3D_D3D_nucleus_13_substack_frame_2,456.29,275.97,1.65,0.6,2.22,5.95,3.05,
41,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_22_R3D_D3D_nucleus_14_substack_frame_1,482.21,278.52,1.73,0.58,2.48,6.31,3.3,
42,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_22_R3D_D3D_nucleus_14_substack_frame_2,488.12,316.02,1.54,0.65,3.63,8.29,4.72,
43,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_22_R3D_D3D_nucleus_15_substack_frame_1,413.41,237.05,1.74,0.57,2.49,6.41,3.36,
44,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_22_R3D_D3D_nucleus_15_substack_frame_2,375.27,268.81,1.4,0.72,2.58,6.59,3.44,
45,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_22_R3D_D3D_nucleus_16_substack_frame_1,416.74,377.37,1.1,0.91,3.61,8.24,4.7,
46,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_22_R3D_D3D_nucleus_16_substack_frame_2,502.24,385.92,1.3,0.77,4.35,9.76,5.63,
47,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_22_R3D_D3D_nucleus_17_substack_frame_1,617.47,408.02,1.51,0.66,4.15,9.37,5.32,
48,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_22_R3D_D3D_nucleus_17_substack_frame_2,515.22,377.55,1.36,0.73,3.96,8.63,5.02,
49,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_22_R3D_D3D_nucleus_18_substack_frame_1,697.17,529.99,1.32,0.76,4.01,9.05,5.15,
50,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_22_R3D_D3D_nucleus_18_substack_frame_2,544.39,286.48,1.9,0.53,2.74,7.11,3.78,1
51,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_22_R3D_D3D_nucleus_19_substack_frame_1,435.69,218.37,2,0.5,2.93,7.93,4.26,
52,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_22_R3D_D3D_nucleus_19_substack_frame_2,319.34,207.76,1.54,0.65,2.97,7.45,4.09,
53,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_22_R3D_D3D_nucleus_1_substack_frame_1,483.86,279.25,1.73,0.58,2.91,7.58,3.96,
