"","Data.Set","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","Group","Treatment"
"1","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_10_substack_frame_1",499.59,289.04,1.73,0.58,2.12,5.76,2.9,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_10",137.25,136.339622641509,0.99336701378149,1.00667727650152,"pCUP-Cdc5[WT]","CuSO4"
"2","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_10_substack_frame_2",326.21,336.43,0.97,1.03,1.83,5.28,2.59,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_10",94.5536231884058,183.841530054645,1.94430973510476,0.514321346000008,"pCUP-Cdc5[WT]","CuSO4"
"3","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_11_substack_frame_1",510.12,376.21,1.36,0.74,4.08,9.02,5.21,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_11",103.263157894737,92.2083333333333,0.892945124023106,1.11988964729945,"pCUP-Cdc5[WT]","CuSO4"
"4","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_11_substack_frame_2",431.8,397.5,1.09,0.92,2.93,7.22,3.87,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_11",100.652680652681,135.665529010239,1.34785808118093,0.74191787248391,"pCUP-Cdc5[WT]","CuSO4"
"5","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_12_substack_frame_1",598.18,338.17,1.77,0.57,3.38,8.04,4.42,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_12",128.364806866953,100.050295857988,0.779421543178015,1.28300277141763,"pCUP-Cdc5[WT]","CuSO4"
"6","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_12_substack_frame_2",390.25,463.93,0.84,1.19,3.02,7.33,3.99,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_12",90.5452436194896,153.619205298013,1.69660160111323,0.589413566121739,"pCUP-Cdc5[WT]","CuSO4"
"7","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_13_substack_frame_1",549.32,372.26,1.48,0.68,3.03,7.51,4.05,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_13",122.616071428571,122.858085808581,1.00197375741361,0.998030130630665,"pCUP-Cdc5[WT]","CuSO4"
"8","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_13_substack_frame_2",462.54,435.41,1.06,0.94,2.89,7.61,3.96,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_13",97.9957627118644,150.660899653979,1.53742259343361,0.650439250906704,"pCUP-Cdc5[WT]","CuSO4"
"9","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_15_substack_frame_1",492.62,180.95,2.72,0.37,2.88,7.26,3.89,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_15",112.470319634703,62.8298611111111,0.558635036471655,1.790077482995,"pCUP-Cdc5[WT]","CuSO4"
"10","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_15_substack_frame_2",398.04,438.89,0.91,1.1,4.23,9.36,5.39,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_15",77.5906432748538,103.756501182033,1.33722955246666,0.747814762361028,"pCUP-Cdc5[WT]","CuSO4"
